效果名	材质数	原 shader 列表	是否含未映射 shader	状态
BansheeHowl_warlord	2	Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_BL	7	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_DA	8	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_DA_Intense	9	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_DA_Intense_Secret	11	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_DA_NoIcon	6	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_GSC	8	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_GSC_intense	8	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_GSC_Jackal	13	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_GSC_shake	8	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_Guard	7	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_Guard Board	8	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_Guard Digital	7	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_Guard Intense	9	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_Guard_quick	6	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_Guard_quick Master of Ordnance	8	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_UM	7	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_UM_Chainsword	8	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_UM_Chant	7	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_UM_chaplain	8	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_UM_Guilliman	13	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Basic_army_UM_Hammer	9	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit	否	OK
Basic_army_UM_Pre-Effect	6	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Basic_army_UM_quick	6	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
BeastSnagga_Summon	8	Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit	否	OK
BigKrumpaKlawEffect	10	Mobile/Particles/Alpha Blended, Mobile/Particles/Multiply, Universal Render Pipeline/Particles/Unlit	否	OK
Birth of a Saga	6	Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BlackCrusade_Battleground	7	Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
BlackCrusade_Battleground repeat	8	Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Blacksword_Missile_offscreen	22	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Blacksword_Missile_volley	19	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Blast_Big_Ork	11	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Blast_Big_Ork_Missiles	16	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Blast_Plasma	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Lit, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Blast_Plasma_Helbrute	22	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Blast_Plasma_MegaBlasta	21	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Blast_Plasma_Sentinel	23	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Blast_Plasma_Sentinel_twinlink	23	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Legacy Shaders/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BlastEffect	7	Shader Graphs/Fx_ParticleDissolve_apb, Shader Graphs/Fx_RockDissolve, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Blind_continuous_effect	3	Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BlindEffect	7	Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
BloodThirstEffect	7	Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
BloodThirstEffect_continuous	5	Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
BloodThirstEffect_Gain	9	Everguild/FX/Extra Color, Everguild/FX/Particle Shine Custom Vertex Streams, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
BloodThirstEffect_Idle	5	Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
BloodThirstEffect_Lose	5	Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
BloodySplash	3	Mobile/Particles/Multiply, Universal Render Pipeline/Particles/Unlit	否	OK
BlueSummonCircle	7	Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Bolter Casing_Imperial	1	Everguild/Matcap/Matcap With Texture	否	OK
Bolter Casing_Orks	1	Everguild/Matcap/Matcap With Texture	否	OK
Bolter Casing_Traitor	1	Everguild/Matcap/Matcap With Texture	否	OK
BolterSweep	10	Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BolterSweep_2	14	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Bore Through	6	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Bore Through Intense	5	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff EC On Warlord When Creating Card	12	Everguild/FX/Extra Color, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff EC Pink Twirl	13	Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff EC Pink Twirl Intense	15	Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff EC Stimulate	13	Everguild/FX/Extra Color, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff EC Stimulate passive	4	Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_BL_Intense	7	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Blue	4	Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Blue_SW	5	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Blue_SW_Intense	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Blue_SW_Wolf	5	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Blue_Tau	6	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Blue_Tau_quick	4	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Chaos_Star	10	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_DA_Forest_Self	7	Everguild/FX/Extra Color, Everguild/FX/Spiral Trail FX, Universal Render Pipeline/Particles/Unlit	是	OK
Buff_DA_Forest_Target	6	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_DaemonicFrenzy	7	Universal Render Pipeline/Particles/Unlit	否	OK
Buff_DaemonicPact	9	Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_DaemonicPact_troop	5	Universal Render Pipeline/Particles/Unlit	否	OK
Buff_DarkOratory	7	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_DiabolicStrength	6	Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Drach'nyen	8	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Eldar_Warp Spider	10	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_Eldar_Warp Spider_intense	9	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_EnemyHand_GSC	4	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Flies	3	Universal Render Pipeline/Particles/Unlit	否	OK
Buff_FriendlyHand_GSC	4	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Green	6	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_Green_Agenda	9	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_Green_DA	11	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_Green_Intense	6	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_GSC	7	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_Hand_1	3	Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Hand_UM	4	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_HideousMutation	8	Universal Render Pipeline/Particles/Unlit	否	OK
Buff_HideousMutation_EC	7	Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_HideousMutation_rage	8	Universal Render Pipeline/Particles/Unlit	否	OK
Buff_LegacyOfVengeance	8	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Mana	6	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_Mana_2	4	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_Mana_3 Holy	5	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_Mana_Blood	7	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_MarkOfKhorne	5	Universal Render Pipeline/Particles/Unlit	否	OK
Buff_MarkOfNurgle	9	Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_MarkOfSlaanesh	12	Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_MarkOfTzeentch	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_Orange	4	Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Ork_Mek	11	Everguild/FX/Extra Color, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Purple	5	Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Red	4	Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Red_Intense	6	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_Red_ork	5	Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Sautekh_Intense	7	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Sororitas	8	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_Sororitas_Intense	6	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Sororitas_quick	6	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_Sororitas_quick_fire	7	Everguild/FX/Alpha Masks Two Layer, Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_Sororitas_quick_fire_intense	7	Everguild/FX/Alpha Masks Two Layer, Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_SW_Blizzard	8	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_SW_Blizzard_Board	8	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_SW_Lightning	10	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_SW_Lightning_quick	9	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_SW_Rune_Blizzard	10	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_SW_Rune_Lightning	10	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_SW_Rune_Tornado	10	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_SW_Runes 1	8	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_SW_Runes_Blizzard OLD	15	Everguild/FX/Extra Color, Everguild/FX/Particle Dissolve Mask, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_Tau_Air	5	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Tau_Earth	5	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Tau_Fire	5	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Tau_GrislyFeast	5	Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Tau_Intense	5	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Tau_Kroot	4	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Tau_Kroot_FriendlyBoard	6	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Tau_Kroot_intense	7	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Buff_Tau_Water	5	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Tyranid	7	Everguild/Matcap/Matcap With Texture, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Tyranid Armor	9	Everguild/Matcap/Matcap With Texture, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Tyranid Atk	7	Everguild/Matcap/Matcap With Texture, Universal Render Pipeline/Particles/Unlit	否	OK
Buff_Tyranid HP	7	Everguild/Matcap/Matcap With Texture, Universal Render Pipeline/Particles/Unlit	否	OK
