效果名	改前判定	改后判定	改前|ln|	改后|ln|	变化
Environmental Condition Black Legion Daemonic Feast	Z	Z	0.154	0.036	-0.118
Atk_ExileGlaiveThrow Movement	Z	Z	0.001	0.001	+0.000
Sau_HealProtocol_OLD	E	E	1.204	1.197	-0.007
BulletImpact_Tau_Missile 3x	Z	E	0.336	0.346	+0.010
EnvironmentalCondition Leviathan Acid Rain	Z	Z	0.004	0.023	+0.018
Buff_Mana_3 Holy	E	E	2.050	2.050	+0.000
Environmental Condition Emperor's Children 1 Pink REJECTED	E	E	1.025	0.840	-0.184
OrkBuff_Recall	Z	Z	0.281	0.267	-0.014
Explosion Fenrisian Monstrosities	Z	Z	0.233	0.200	-0.033
Artillery Manticore down 1x	E	E	0.339	0.339	+0.000
Buff_Hand_UM	Z	Z	0.003	0.003	-0.000
BulletImpact_2shot_pointblank_EC	Z	Z	0.001	0.000	-0.000
MarkerlightTriggerDamage	Z	E	0.279	0.338	+0.058
Shadow_Projectile	Z	Z	0.000	0.208	+0.208
Duty Reset	Z	E	0.101	0.546	+0.445
FastEffect	E	Z	1.156	0.030	-1.126
Solar Beam Target	E	E	1.051	1.051	+0.000
OrkBuff_Snakebitez_1	E	Z	0.956	0.012	-0.944
Summon_Generic	Z	Z	0.028	0.019	-0.009
Sororitas_Divine Intervention_Target	E	E	0.471	0.456	-0.015
BulletImpact_Psychophage	E	E	0.400	0.348	-0.051
SynapseEffect_NoIcon	E	E	2.457	2.484	+0.027
BulletImpact_9shot_trail_chaos	Z	Z	0.008	0.012	+0.003
EnvironmentalCondition Saim Hann Webway Rift	E	E	0.932	1.004	+0.072
RegimentEffect	E	E	0.345	0.597	+0.252
Basic_army_GSC_shake	Z	Z	0.259	0.264	+0.004
CreateCard Orks 1	Z	Z	0.061	0.030	-0.031
PathOfTheSeer	Z	Z	0.065	0.051	-0.014
Emperors Children Generic Buff Record	Z	Z	0.150	0.177	+0.027
Will Of Gork	E	E	0.993	0.993	+0.000
EnvironmentalCondition Tau Radiation Storm	E	Z	0.745	0.007	-0.737
Buff_Green_DA	E	E	0.603	0.603	+0.000
Buff_SW_Runes 1	E	E	1.540	1.668	+0.127
Goff_ProperKilly	Z	Z	0.034	0.034	+0.000
Environmental Condition Space Wolves Full Moon	Z	Z	0.159	0.158	-0.000
Buff_Mana_2	E	E	2.141	2.141	+0.000
BulletImpact_tank_baneblade	E	E	0.470	0.470	+0.000
Buff_Tyranid Atk	Z	Z	0.039	0.027	-0.011
Sau_ParticleWhip	E	Z	0.378	0.342	-0.036
BulletImpact_Ork Missiles 1	E	E	0.498	0.373	-0.125
Atk_BulletImpact_Vox-pulse digital	Z	Z	0.206	0.223	+0.017
EnvironmentalCondition Saim Hann Blackout	Z	Z	0.149	0.181	+0.032
PathOfCommand_buff	Z	Z	0.288	0.288	+0.000
Buff_Tau_Earth	Z	Z	0.346	0.343	-0.003
Buff_SW_Blizzard	Z	Z	0.153	0.106	-0.047
Buff_Sororitas_Intense	Z	Z	0.059	0.059	-0.000
Vanguard Onslaught Board	Z	Z	0.055	0.029	-0.026
BulletImpact_2shot_trail_EC Daemon	Z	Z	0.070	0.193	+0.123
Screen_Gold	Z	Z	0.295	0.307	+0.012
AlphaWarriorEffect	Z	Z	0.017	0.005	-0.013
MoreDakkaEffect	E	Z	0.345	0.296	-0.049
Buff_Red_Intense	E	E	0.682	0.684	+0.002
Blind_continuous_effect	Z	Z	0.112	0.141	+0.029
BulletImpact_5shot_trail_chaos	E	E	0.399	0.405	+0.005
BulletTrail_Single	Z	Z	0.164	0.271	+0.107
EnvironmentalCondition Sororitas Shrine Bombardment	E	Z	1.431	0.156	-1.275
Basic_army_DA	E	E	0.918	0.937	+0.020
Goff_WaaaghRed	Z	Z	0.016	0.000	-0.016
Buff_UM_Intense	Z	Z	0.269	0.297	+0.028
Scream_Ragnar_Target	E	E	0.708	0.684	-0.024
SlayEffect	E	E	1.292	1.297	+0.005
ShieldTraitEffect_Idle Emperor's Children Variant	Z	Z	0.032	0.022	-0.010
Oath_Effect	E	E	0.465	0.734	+0.269
Execution_BlackLegion	Z	Z	0.270	0.222	-0.048
Buff_Tau_Air	E	E	0.389	0.389	-0.000
Environmental Condition Emperor's Children Empyric Rift	Z	Z	0.182	0.143	-0.039
ArdAsNailsEffect	E	E	0.559	0.412	-0.147
Buff_Hand_1	Z	Z	0.001	0.083	+0.082
Recon Scan 2	Z	Z	0.008	0.024	+0.016
Atk_BulletImpact_Vox-pulse purple	Z	Z	0.227	0.219	-0.008
Psychic_Lightning_chaos	E	Z	0.867	0.083	-0.784
Blacksword_Missile_volley	Z	Z	0.042	0.040	-0.002
CreateCard GSC	Z	Z	0.046	0.062	+0.016
Basic_army_DA_Intense_Secret	Z	Z	0.006	0.014	+0.008
Pray_Idle	Z	Z	0.043	0.182	+0.139
Buff_Tau_Water	E	E	0.378	0.379	+0.001
Tyranid_Burrow	E	E	0.988	0.934	-0.054
BulletImpact_Spore Launch 1	E	Z	0.499	0.159	-0.340
BulletImpact_Gordrang	Z	Z	0.185	0.189	+0.003
SW_Tornado	Z	Z	0.110	0.105	-0.005
OrkBuff_Snakebitez_2	Z	Z	0.241	0.167	-0.074
Axe_Slash_User_SW	E	E	0.381	0.338	-0.043
Earthquake Rockfall Target	E	E	3.743	4.898	+1.155
Basic_army_BL	Z	Z	0.078	0.082	+0.004
Environmental Condition Space Wolves Everstorm	Z	Z	0.041	0.106	+0.065
Hive Fleet Ground Growth	E	E	0.731	0.771	+0.040
Psychic_Lightning_blast_chaos	Z	E	0.232	0.344	+0.113
MarkOfTzeentch_enchantment	E	E	2.951	2.478	-0.473
CodexEffect	E	E	0.526	0.503	-0.024
Environmental Condition Black Legion Warp Storm	Z	Z	0.236	0.138	-0.098
Sau_MethodicalDestruction	Z	Z	0.019	0.002	-0.017
TyranidInvasion_Spawn	Z	Z	0.159	0.003	-0.156
Buff_MarkOfTzeentch	Z	Z	0.021	0.010	-0.011
Toxic Vapors Damage quick	Z	Z	0.089	0.082	-0.007
Atk_KrootJavelinThrow Movement	Z	Z	0.001	0.001	+0.000
Shadow_Projectile_EC	Z	Z	0.004	0.035	+0.031
Necrons death explosion	Z	Z	0.014	0.020	+0.005
BulletImpact_2shot_ork	Z	Z	0.001	0.009	+0.008
Tau Coordinated Engagement	E	E	1.207	1.207	+0.000
BulletImpact_Saboteur_DetonatorOnly	Z	Z	0.000	0.000	+0.000
Swarm_Trigger_OnTarget	E	E	0.691	0.691	+0.000
Artillery Manticore up 4x	E	E	1.141	1.134	-0.007
Arco-Flagellant Strike	Z	E	0.026	0.453	+0.426
Tap Green Glow	Z	Z	0.292	0.295	+0.003
Buff_MarkOfSlaanesh	E	Z	0.410	0.273	-0.136
DeckBuff_Orks	Z	Z	0.091	0.200	+0.109
Goff_GreatestWarboss	E	E	0.823	0.847	+0.024
Telepathic_Control_target	E	E	0.861	0.986	+0.125
Psychic_Lightning	E	E	0.512	0.606	+0.094
BulletImpact_Lascannon_2shots	Z	Z	0.046	0.016	-0.030
Sororitas_Destroy_Flames	E	E	0.390	0.368	-0.022
Shadow_Projectile_GSC_Invulnerable	Z	Z	0.047	0.019	-0.028
Basic_army_GSC_intense	Z	Z	0.247	0.250	+0.003
BulletImpact_autocannon	Z	Z	0.121	0.063	-0.059
Trait_GainQuest	Z	E	0.185	0.485	+0.300
Basic_army_Guard	Z	Z	0.148	0.056	-0.092
Psychic_Lightning_Genestealer	Z	E	0.336	0.475	+0.139
HeroRespiteEffect	Z	Z	0.095	0.062	-0.032
PathOfTheSeerGreen	Z	Z	0.057	0.067	+0.010
Death Cult Strike	Z	Z	0.085	0.234	+0.149
Environmental Condition Emperor's Children Empyric Rift OLD	Z	Z	0.033	0.160	+0.128
Helspear_Assault_Buff	Z	Z	0.197	0.206	+0.009
InspiredRetributionEffect	Z	Z	0.003	0.126	+0.123
BulletImpact_Sonic Weapon 1	E	E	0.896	0.898	+0.003
Vortex Explosion Massive	E	E	5.457	5.457	+0.000
Buff_Purple	E	E	0.542	0.547	+0.005
Buff_Red_ork	E	E	0.479	0.477	-0.003
BulletImpact_1shot	Z	Z	0.001	0.002	+0.001
EnvironmentalCondition Ultramarines Bombardment	Z	Z	0.033	0.033	+0.000
Scream_gold	Z	Z	0.245	0.245	+0.000
Tidewall Gunrig	Z	Z	0.238	0.238	+0.000
BulletImpact_DesolationMissile_AOE	Z	Z	0.189	0.219	+0.030
ShieldTraitEffect_Idle Necron Variant	Z	Z	0.063	0.086	+0.023
BulletImpact_Tau_GravPulse	Z	Z	0.179	0.200	+0.021
BulletImpact_Lascannon_twinlink_dread	Z	Z	0.166	0.166	+0.000
Sword_Slash_DA_Heavy	E	E	0.462	0.391	-0.071
BulletImpact_ValkyrieMissile	Z	Z	0.017	0.021	+0.004
OrkBuff_KrumpDaGitz	E	E	0.578	0.538	-0.040
TinyFlames	Z	Z	0.116	0.087	-0.029
VanguardIdleEffect	E	E	0.428	0.423	-0.005
Buff_SW_Blizzard_Board	Z	Z	0.002	0.080	+0.078
Tau_SummonCircle	Z	Z	0.258	0.239	-0.019
BulletImpact_Kroot_RepeaterCannon	Z	Z	0.014	0.024	+0.011
Scream_purple	E	E	0.366	0.365	-0.001
Impact_blunt_lightning_Big_Recoil	E	E	3.807	2.871	-0.936
OrkBuff_Snakebitez_2_Intense	Z	Z	0.267	0.207	-0.060
Sau_Dimensional_Breach_Spawn	E	E	0.771	0.897	+0.126
Buff_SW_Runes_Blizzard OLD	Z	Z	0.124	0.051	-0.073
BulletImpact_autogun_6shot_twinlink	Z	Z	0.154	0.256	+0.102
Emperors Children Generic Buff	Z	Z	0.135	0.146	+0.011
Cosmic Serpent	E	E	0.672	0.659	-0.013
BulletImpact_MissileToTarget	Z	Z	0.057	0.012	-0.045
CreateCard BlackLegion	Z	Z	0.033	0.043	+0.011
StimulateEffect	Z	Z	0.043	0.248	+0.206
Sau_HealProtocol	E	E	1.028	1.136	+0.108
Cut EC 3x	Z	Z	0.025	0.098	+0.072
Armor_Necron	Z	Z	0.000	0.058	+0.058
BlueSummonCircle	E	E	0.994	1.070	+0.075
Buff_Blue_Tau	E	E	0.513	0.514	+0.001
Whip Attack EC Lucius	Z	Z	0.047	0.035	-0.012
Flayed One Summon	Z	Z	0.024	0.000	-0.024
Buff_Green_Agenda	E	E	1.023	1.028	+0.004
Space Wolves Summon	Z	Z	0.123	0.220	+0.098
TraitorsHate_Target	E	E	0.919	0.791	-0.127
Basic_army_GSC	Z	Z	0.263	0.265	+0.002
BulletImpact_DeathSpinner Test	E	E	2.080	2.013	-0.067
BulletImpact_1shotSniper	Z	Z	0.000	0.000	-0.000
PenitenceEffect	Z	Z	0.152	0.010	-0.142
Cut Termie Lightning Claws	E	Z	0.828	0.003	-0.825
Psychic_Lightning_Red	E	E	0.643	0.675	+0.032
UM_AvengingSon	E	E	0.905	0.994	+0.089
BulletImpact_Ork Missile Big	Z	Z	0.159	0.325	+0.167
BulletImpact_5shot_trail_EC	Z	Z	0.047	0.098	+0.051
BulletImpact_2shot_pointblank_chaos	Z	Z	0.004	0.027	+0.022
BulletImpact_artillery_manticore_spread	E	E	1.091	1.096	+0.005
Hammer_Slam_SW	E	E	1.621	1.607	-0.014
UM_DeathFromAbove	Z	Z	0.078	0.078	+0.000
GreenSummonCircle	Z	Z	0.078	0.108	+0.030
BulletImpact_9shot_trail_EC	Z	Z	0.031	0.019	-0.013
WaystoneTrigger	Z	Z	0.002	0.018	+0.016
StunEffect_idle	E	E	1.287	1.347	+0.060
ToxicMiasma_Venomthrope	E	E	1.186	1.080	-0.106
Explosion_gauss_yellow	Z	Z	0.044	0.263	+0.218
BloodySplash	Z	E	0.304	0.484	+0.180
Recall_Eldar_2	E	E	1.051	1.168	+0.117
DeckBuff_Green 2	Z	Z	0.032	0.013	-0.019
SynapseEffect	E	E	1.696	1.713	+0.017
BulletImpact_Shuriken_Long_twinlink	Z	Z	0.012	0.116	+0.104
Tap squishy	Z	Z	0.153	0.152	-0.000
Buff_Tau_Kroot	E	E	0.694	0.694	-0.000
BulletImpact_2shot_autocannon	Z	Z	0.173	0.150	-0.023
BulletImpact_Flamethrower_ClearanceIncinerator	Z	Z	0.092	0.029	-0.062
EC_Target_user	E	Z	0.382	0.000	-0.382
LongRange_LoseTrait	E	E	0.862	0.861	-0.002
Cut Wulfen SW	Z	Z	0.007	0.007	+0.000
BansheeHowl	E	E	1.910	1.885	-0.025
BlindEffect	Z	Z	0.027	0.021	-0.006
Buff_Blue_SW_Intense	Z	Z	0.112	0.157	+0.044
Buff_BL_Intense	E	E	0.779	0.758	-0.021
MegaBlasta	T	E		0.472	新可判定
BulletImpact_tank_big	E	E	0.435	0.435	+0.000
EnvironmentalCondition Leviathan Blazing Biomatter	Z	Z	0.006	0.006	+0.000
Recon Hit Purple	Z	Z	0.011	0.001	-0.010
UM_TacticalInsight	Z	E	0.334	0.363	+0.029
DeckBuff_MoveToTop	E	E	0.663	0.657	-0.006
UM_MasterOfArcanaEffect	E	E	0.514	0.405	-0.109
RemnantBody3D Aeldari	E	E	2.770	2.770	+0.000
Teleport Trigger Effect Quick	E	E	0.638	0.636	-0.002
CreateCard EC	Z	Z	0.023	0.009	-0.014
CreateCard EC Elixir	E	E	0.567	0.608	+0.041
BulletImpact_DCannon_twinlink	Z	Z	0.001	0.014	+0.013
Backstab Dagger Intense	Z	Z	0.050	0.339	+0.289
Tap Floor Grille	Z	Z	0.062	0.063	+0.000
Impact_blunt_lightning_Big	E	E	2.659	2.593	-0.066
HuntMark_User	Z	Z	0.157	0.090	-0.067
Buff_DaemonicFrenzy	Z	Z	0.000	0.003	+0.003
Debuff EC	Z	Z	0.355	0.076	-0.279
Buff_FriendlyHand_GSC	Z	Z	0.000	0.020	+0.020
Sword_Slash_DA	C	E		1.054	新可判定
Plasma_blue_pointblank	C	E		1.444	新可判定
Basic_army_Guard Intense	Z	Z	0.020	0.035	+0.016
BulletImpact_autogun_Shotgun	E	E	0.348	0.381	+0.033
CreateCard GSC 5x	Z	Z	0.019	0.191	+0.173
Tap Fire Eldar	Z	Z	0.173	0.070	-0.103
FeedingFrenzy	Z	Z	0.274	0.168	-0.106
RelentlessEffect	Z	Z	0.266	0.263	-0.003
Buff_Orange	E	E	0.622	0.624	+0.001
GainShuriken	E	Z	0.338	0.006	-0.333
BolterSweep_2	E	E	0.754	0.706	-0.048
ArmourEffect_Nurgle	Z	Z	0.010	0.025	+0.015
BulletImpact_4shot_trail	Z	Z	0.137	0.137	-0.000
ComboEffect	Z	Z	0.307	0.093	-0.214
Gain_Sentry	E	E	0.373	0.358	-0.015
Tau Buff Ranged	E	E	0.485	0.485	+0.000
CardPrefab	E	E	5.176	3.210	-1.966
HuntMark_DamageEffect	Z	Z	0.048	0.091	+0.043
CreateCard Necron	Z	Z	0.018	0.089	+0.072
Buff_Sororitas_quick_fire_intense	E	E	0.557	0.537	-0.019
InvulnerableEffectTyranid	E	E	0.538	0.530	-0.008
BulletImpact_3shot_trail_chaos	Z	Z	0.068	0.266	+0.198
BulletImpact_Sonic Weapon 1 Dual Pistol OLD	Z	Z	0.045	0.018	-0.027
Whip Attack EC Maulerfiend	C	Z		0.079	新可判定
BulletImpact_2shot_trail_ork_NEW	Z	Z	0.270	0.251	-0.019
Toxic_Entanglement	Z	E	0.240	0.448	+0.207
Pray_Exit	E	E	0.619	0.563	-0.056
BansheeHowl_warlord	E	E	1.286	1.917	+0.631
Buff_Tau_GrislyFeast	Z	Z	0.020	0.011	-0.009
Atk_JainasMor	E	E	0.694	0.532	-0.162
Antimatter Explosion	Z	E	0.237	0.442	+0.205
Basic_army_UM_Chant	E	E	0.437	0.437	+0.000
RocketTrail	Z	Z	0.084	0.088	+0.003
Offensive_Sweeping_Infestation_Target	E	E	0.337	0.351	+0.014
Basic_army_UM_chaplain	Z	Z	0.304	0.302	-0.002
Artillery Manticore down 4x	E	E	0.448	0.448	+0.000
Buff_Blue_SW_Wolf	Z	Z	0.164	0.156	-0.007
RemnantBody3D Necrons	Z	Z	0.068	0.006	-0.062
BulletImpact_4shot_trail_twinlink	Z	Z	0.148	0.191	+0.043
TraitorsHate_Board	E	E	0.583	0.418	-0.165
ToxicMiasma_Board	E	E	1.126	1.099	-0.027
Delightful_Agonies_Projectile	E	E	0.704	0.984	+0.279
Buff_Tyranid HP	Z	Z	0.001	0.002	+0.001
Buff_Ork_Mek	Z	Z	0.083	0.042	-0.041
BulletImpact_Spore Launch	E	E	0.401	0.472	+0.071
Buff_MarkOfKhorne	Z	Z	0.004	0.000	-0.004
CoordinatedEngagement	Z	Z	0.053	0.053	+0.000
Earthquake Rockfall Board	E	E	4.605		变成判定不了
BulletImpact_tank_huge	E	E	0.470	0.470	+0.000
BulletImpact_5shot_trail_ork	Z	Z	0.121	0.175	+0.054
Atk_GrotGrenade	Z	Z	0.001	0.001	+0.000
BulletImpact_DeathSpinner_twinlink_large parabolic	Z	Z	0.007	0.027	+0.020
Buff_HideousMutation_EC	Z	Z	0.040	0.028	-0.012
BulletImpact_9shot	Z	Z	0.040	0.001	-0.039
Cut Wulfen SW Reverse	Z	Z	0.007	0.011	+0.004
Invoke Minion Card Fade Legendary	Z	Z	0.034	0.055	+0.020
BulletImpact_FlamethrowerSororitas_long	Z	Z	0.158	0.026	-0.132
Tap Plasma generator	Z	Z	0.094	0.108	+0.014
DeckBuff_GSC	Z	Z	0.021	0.131	+0.111
VulnerableEffectEnd	Z	Z	0.203	0.000	-0.203
Buff_HideousMutation_rage	Z	Z	0.058	0.046	-0.012
Artillery Manticore up 2x	E	E	1.211	1.221	+0.010
Debuff_Mana_Tyranid	Z	E	0.251	1.288	+1.037
DeckBuff Grey	Z	Z	0.084	0.082	-0.002
Psychic_Lightning_down	Z	E	0.296	0.889	+0.593
Ork Environmental Condition Spore Clouds	E	Z	0.565	0.288	-0.277
Factory Overdrive Damage	E	E	1.512	1.414	-0.098
Cut Axe SW	Z	Z	0.008	0.015	+0.007
MasterOfExecutions	Z	Z	0.019	0.037	+0.019
Ork Environmental Condition Dust	Z	Z	0.001	0.002	+0.001
Psychic_Lightning_white	E	Z	0.524	0.129	-0.396
BulletImpact_5shot_trail_ork_low	Z	Z	0.191	0.101	-0.090
Atk_Rokkit-Harpoon small	Z	Z	0.028	0.144	+0.116
Helfire Burst Target	E	E	0.467	0.466	-0.001
Buff_Green_Intense	E	E	0.468	0.470	+0.002
EnvironmentalCondition Sororitas Disrupted Ceremony	Z	Z	0.052	0.052	-0.000
Tap Firepit 2	Z	E	0.246	0.479	+0.233
Recon Hit	Z	Z	0.003	0.003	+0.000
BulletImpact_MagicMissile_EC	Z	Z	0.166	0.126	-0.039
Recall_Generic	Z	Z	0.014	0.038	+0.024
Quest UI Trigger	Z	Z	0.008	0.005	-0.002
Environmental Condition Dark Angels Orbiting	Z	Z	0.214	0.142	-0.071
Card_Buff_Hand_SW	Z	Z	0.033	0.056	+0.023
WailingDoom	Z	Z	0.068	0.104	+0.036
BulletImpact_Sonic Weapon 2	Z	Z	0.078	0.015	-0.063
OrkBuff_Snakebitez_1_2D_SFX	E	Z	0.823	0.026	-0.797
UM_CardDraw	E	E	0.778	0.777	-0.001
EnvironmentalCondition Ultramarines Thunderstorm	Z	Z	0.324	0.049	-0.275
Explosion Hand UI	Z	Z	0.100	0.122	+0.022
TideEffect	Z	Z	0.166	0.150	-0.016
FlamethrowerSweepAttack_sororitas	Z	Z	0.066	0.046	-0.020
AmbushEffect	Z	Z	0.240	0.265	+0.025
BulletImpact_6shot_trail_EC Daemon	Z	Z	0.234	0.114	-0.121
Psychic_Lightning_warlord_OLD	E	E	0.907	0.746	-0.161
Hammer_Throw_SW	Z	Z	0.218	0.200	-0.018
Toxic Vapors Damage	Z	Z	0.131	0.121	-0.010
Atk_HelspearThrow Movement	Z	Z	0.001	0.001	+0.000
Psychic_Lightning_Swarmlord	E	E	0.426	0.398	-0.028
Sororitas Saint Custom summon	Z	Z	0.068	0.067	-0.001
Psychic_Lightning_Genestealer_Benefictus	Z	E	0.313	0.713	+0.400
BulletImpact_4shot_trail_nurgle	Z	Z	0.178	0.232	+0.055
BulletImpact_1shot_pointblank	Z	Z	0.000	0.000	+0.000
CreateCard_Tau	Z	Z	0.000	0.000	+0.000
CreateCard	Z	Z	0.028	0.036	+0.008
Rapacious_Hunger	Z	Z	0.049	0.040	-0.009
SAU_CardDraw	E	E	0.868	0.862	-0.005
OrkBuff_Snakebitez_1_Quick	Z	Z	0.094	0.124	+0.029
CamouflageEffect	E	E	0.494	0.723	+0.229
WhileInPlay_Tzeentch	E	E	0.365	1.502	+1.137
BulletImpact_Tau_Missile 10x	E	E	0.388	0.423	+0.035
ArtificeEffect	C	E		0.469	新可判定
Faith UI Trigger	Z	Z	0.109	0.042	-0.068
Bore Through Intense	Z	Z	0.152	0.184	+0.031
Tap Blue Glow	Z	Z	0.257	0.254	-0.002
Basic_army_Guard_quick Master of Ordnance	E	E	0.392	0.373	-0.019
UnstableEffect	E	E	0.608	0.595	-0.013
BulletImpact_Rippergun	E	E	0.608	0.567	-0.041
BulletImpact_AcidSpit	E	E	0.638	0.568	-0.069
Psychomancer_Stun	Z	Z	0.037	0.045	+0.008
Chronomancer_Buff	Z	Z	0.035	0.016	-0.019
ShieldTraitEffect_Idle TAU Variant	Z	Z	0.175	0.073	-0.103
BulletImpact_Screamer-Killer	Z	Z	0.285	0.257	-0.028
BulletImpact_9shot_trail_EC_twinlink	Z	Z	0.006	0.109	+0.103
ShieldTraitEffect_Idle Sororitas Variant	Z	Z	0.029	0.101	+0.072
BulletImpact_Thunderfire	Z	Z	0.028	0.012	-0.016
Basic_army_UM_Hammer	E	E	0.484	0.482	-0.003
Healing_Projectile_Ork	Z	Z	0.238	0.240	+0.002
Bore Through	Z	Z	0.125	0.171	+0.045
Buff_DA_Forest_Target	Z	Z	0.096	0.111	+0.015
Rapturous Ruination Board	E	E	1.565	1.497	-0.068
Quest UI Gain	Z	Z	0.000	0.011	+0.011
Psychic_Lightning_Tyranid	E	Z	0.356	0.083	-0.274
Buff_Sororitas_quick	E	E	0.507	0.523	+0.015
Explosion_gauss	Z	Z	0.066	0.022	-0.044
Teleport Trait Summon	E	E	0.356	0.470	+0.114
Cuts Brutal	Z	Z	0.147	0.142	-0.005
Buff_Tyranid Armor	E	E	0.535	0.961	+0.427
Sniper Target	Z	Z	0.192	0.192	+0.000
Buff_Red	E	E	0.727	0.727	+0.000
BulletImpact_Tyranid_Stranglethorn_Dual	E	Z	0.495	0.220	-0.274
Recon Scan	Z	Z	0.227	0.242	+0.015
Environmental Condition Necrons Solar Storm	Z	Z	0.027	0.028	+0.001
InvulnerableEffectTau	E	E	0.485	0.404	-0.081
Impact_Ground_Stomp	Z	Z	0.114	0.038	-0.076
Buff_SW_Lightning_quick	Z	Z	0.185	0.105	-0.080
MarkOfNurgle_enchantment	E	E	1.847	1.711	-0.136
Emperors Children Scenario Bombardment	Z	Z	0.051	0.124	+0.073
Environmental Condition Emperor's Children 1 Green	E	E	1.088	1.120	+0.032
BulletImpact_Ork Heavy Lobba	Z	E	0.193	0.504	+0.311
Sau_DamageProtocol	E	E	0.851	0.889	+0.037
BloodThirstEffect_Lose	Z	E	0.158	0.394	+0.236
BulletImpact_autocannon_rapid	Z	Z	0.209	0.051	-0.158
CantAttackEffect	Z	Z	0.210	0.200	-0.009
BulletImpact_GrenadeLauncher	Z	Z	0.012	0.213	+0.201
Tap Firepit	Z	Z	0.136	0.001	-0.135
BulletImpact_Tau_Pulse Bomb	Z	Z	0.076	0.084	+0.008
Whip Attack EC Daemon	Z	Z	0.010	0.124	+0.115
GSC Sabotage Use	Z	Z	0.080	0.147	+0.067
Sau_ReconstitutionProtocol	Z	Z	0.057	0.023	-0.034
Atk_StikkaThrow Movement	Z	Z	0.002	0.002	-0.001
Recon Enemy Hand Purple	Z	Z	0.039	0.020	-0.019
BulletImpact_3shot_trail_EC	Z	Z	0.014	0.054	+0.040
BulletImpact_RandomShitGo	Z	Z	0.197	0.137	-0.060
EC Target	Z	Z	0.115	0.200	+0.085
BulletImpact_5shot_trail	Z	Z	0.193	0.203	+0.010
HuntMark_IdleEffect	Z	E	0.333	0.445	+0.111
BulletImpact_artillery_arc	Z	Z	0.270	0.276	+0.006
BulletImpact_DeathSpinner_spider_twinlink	Z	Z	0.124	0.088	-0.036
Njal Blizzard Attack	Z	Z	0.154	0.012	-0.142
Unit Freezing	C	Z		0.055	新可判定
Invoke Minion Hits Ground Legendary	Z	Z	0.003	0.117	+0.114
Buff_LegacyOfVengeance	E	E	0.569	0.577	+0.008
Card_Buff_Sabotage_trigger	Z	Z	0.050	0.028	-0.022
Buff_Blue_SW	Z	Z	0.198	0.198	-0.000
Sword_Slash_Simple	Z	Z	0.022	0.008	-0.014
Recall_Eldar_2_reverse	E	E	1.307	1.380	+0.074
BulletImpact_DeathSpinner_twinlink_large	Z	Z	0.018	0.038	+0.020
Teleport Recall	Z	Z	0.097	0.004	-0.093
Sororitas_BladeOfFaith	C	E		0.988	新可判定
Default Tap Floor	Z	Z	0.008	0.003	-0.005
Psychic_Lightning_down_Waaagh_Green	E	E	1.238	1.320	+0.081
Explosion_Possession	Z	Z	0.138	0.139	+0.001
Offensive_Thunderstorm Target	E	Z	0.542	0.240	-0.302
Cut EC Reverse	Z	Z	0.238	0.068	-0.170
StunEffect_proc	Z	Z	0.292	0.344	+0.052
Tyranid Spawn	Z	Z	0.000	0.000	+0.000
HuntMark_StartEffect	E	E	1.177	0.883	-0.295
InvulnerableEffectSW	Z	Z	0.238	0.246	+0.008
