effect	px	py	pz	lx	ly	lz	fov	near	far	_
Buff_DA_Forest_Target	0	-1.30999947	-37.3011475	0	-1.30999947	0	40	0.01	1180.5658	0
Buff_DaemonicFrenzy	0	-0.9840002	-54.8134232	0	-0.9840002	0	40	0.01	1734.822	0
Buff_DaemonicPact	0	0.876001358	-61.89517	0	0.876001358	0	40	0.01	1958.9563	0
Buff_DaemonicPact_troop	0	-0.9840002	-54.8134232	0	-0.9840002	0	40	0.01	1734.822	0
Buff_DarkOratory	0	-1.47000027	-58.31588	0	-1.47000027	0	40	0.01	1845.67334	0
Buff_DiabolicStrength	0	-0.9840002	-54.8134232	0	-0.9840002	0	40	0.01	1734.822	0
Buff_Drach'nyen	0	-1.31999969	-58.31588	0	-1.31999969	0	40	0.01	1845.67334	0
Buff_Eldar_Warp Spider	0	-0.7427268	-28.27147	0	-0.7427268	0	40	0.01	894.7803	0
Buff_Eldar_Warp Spider_intense	0	-0.5053201	-32.6183052	0	-0.5053201	0	40	0.01	1032.35583	0
Buff_EnemyHand_GSC	0	0	-116.571564	0	0	0	40	0.01	3689.44165	0
Buff_Flies	0	-1.3380003	-37.3011475	0	-1.3380003	0	40	0.01	1180.5658	0
Buff_FriendlyHand_GSC	0	0	-116.571564	0	0	0	40	0.01	3689.44165	0
Buff_Green	0	-1.47000027	-58.31588	0	-1.47000027	0	40	0.01	1845.67334	0
Buff_Green_Agenda	0	-1.3380003	-37.3011475	0	-1.3380003	0	40	0.01	1180.5658	0
Buff_Green_DA	0	-1.30999947	-37.3011475	0	-1.30999947	0	40	0.01	1180.5658	0
Buff_Green_Intense	0	-0.6779995	-58.31588	0	-0.6779995	0	40	0.01	1845.67334	0
Buff_GSC	0	-1.46999979	-43.736908	0	-1.46999979	0	40	0.01	1384.255	0
Buff_Hand_1	0	15.499505	-166.214355	0	15.499505	0.189996719	40	0.01	5266.62842	0
Buff_Hand_UM	0	0	-116.571564	0	0	0	40	0.01	3689.44165	0
Buff_HideousMutation	0	-1.31999969	-72.89485	0	-1.31999969	0	40	0.01	2307.0918	0
Buff_HideousMutation_EC	0	-1.17000008	-46.6264343	0	-1.17000008	0	40	0.01	1475.70728	0
Buff_HideousMutation_rage	0	-1.17000008	-46.6264343	0	-1.17000008	0	40	0.01	1475.70728	0
Buff_LegacyOfVengeance	0	-1.31999969	-58.3158722	0	-1.31999969	0	40	0.01	1845.67322	0
Buff_Mana	0	0.302999973	-8.160008	0	0.302999973	-1.1920929E-07	40	0.01	258.2609	0
Buff_Mana_2	0	23.1135139	-549.496338	0	23.1135139	0.189987183	40	0.01	17397.3457	0
Buff_Mana_3 Holy	0	16.72351	-559.6968	0	16.72351	0.189987183	40	0.01	17720.1836	0
Buff_Mana_Blood	0	-26.0906219	-915.3248	0	-26.0906219	52.6900024	40	0.01	30637.2676	0
Buff_MarkOfKhorne	0	0.231876373	-74.151886	0	0.231876373	-9.536743E-07	40	0.01	2346.87622	0
Buff_MarkOfNurgle	0	-0.8380003	-58.31588	0	-0.8380003	0	40	0.01	1845.67334	0
Buff_MarkOfSlaanesh	0	-0.8380003	-58.31588	0	-0.8380003	0	40	0.01	1845.67334	0
Buff_MarkOfTzeentch	0	1.74505043	-54.28618	0	1.74505043	-0.129999161	40	0.01	1714.02051	0
Buff_Orange	0	-1.47000027	-58.31588	0	-1.47000027	0	40	0.01	1845.67334	0
Buff_Ork_Mek	-0.110813856	-0.9329243	-17.2626534	-0.110813856	-0.9329243	0.156139851	40	0.01	551.297546	0
Buff_Purple	0	-1.6799984	-81.27683	0	-1.6799984	0	40	0.01	2572.378	0
Buff_Red	0	-1.47000027	-58.31588	0	-1.47000027	0	40	0.01	1845.67334	0
Buff_Red_Intense	0	-1.47000027	-58.31588	0	-1.47000027	0	40	0.01	1845.67334	0
Buff_Red_ork	0	-1.47000027	-63.3695679	0	-1.47000027	0.199999809	40	0.01	2011.95044	0
Buff_Sautekh_Intense	0	-1.3380003	-69.93965	0	-1.3380003	0	40	0.01	2213.56079	0
Buff_Sororitas	0	10.9199991	-99.30652	0	10.9199991	0	40	0.01	3143.01025	0
Buff_Sororitas_Intense	0	-1.33799934	-83.92759	0	-1.33799934	0	40	0.01	2656.27319	0
Buff_Sororitas_quick	0	-1.3380003	-37.3011475	0	-1.3380003	0	40	0.01	1180.5658	0
Buff_Sororitas_quick_fire	0	-1.3380003	-37.3011475	0	-1.3380003	0	40	0.01	1180.5658	0
Buff_Sororitas_quick_fire_intense	0	-1.3380003	-37.3011475	0	-1.3380003	0	40	0.01	1180.5658	0
Buff_SW_Blizzard	-1.18259048	0.0618724823	-197.142349	-1.18259048	0.0618724823	-0.7439995	40	0.01	6215.92627	0
Buff_SW_Blizzard_Board	-25.4707413	6.63551331	-284.254059	-25.4707413	6.63551331	19.1075954	40	0.01	9601.271	0
Buff_SW_Lightning	0	-0.409999847	-145.008209	0	-0.409999847	0	40	0.01	4589.44971	0
Buff_SW_Lightning_quick	0	-0.409999847	-145.008209	0	-0.409999847	0	40	0.01	4589.44971	0
Buff_SW_Rune_Blizzard	0	-1.26799965	-37.3011475	0	-1.26799965	0	40	0.01	1180.5658	0
Buff_SW_Rune_Lightning	0	-1.26799965	-37.3011475	0	-1.26799965	0	40	0.01	1180.5658	0
Buff_SW_Rune_Tornado	0	-1.26799965	-37.3011475	0	-1.26799965	0	40	0.01	1180.5658	0
Buff_SW_Runes 1	0	-1.26799965	-37.3011475	0	-1.26799965	0	40	0.01	1180.5658	0
Buff_SW_Runes_Blizzard OLD	-6.60164452	2.00083828	-118.076057	-6.60164452	2.00083828	0.008188248	40	0.01	3737.31738	0
Buff_Tau_Air	0	-1.46999979	-43.736908	0	-1.46999979	0	40	0.01	1384.255	0
Buff_Tau_Earth	0	-1.46999979	-43.736908	0	-1.46999979	0	40	0.01	1384.255	0
Buff_Tau_Fire	0	-1.46999979	-43.736908	0	-1.46999979	0	40	0.01	1384.255	0
Buff_Tau_GrislyFeast	0	0.231876373	-89.97669	0	0.231876373	0	40	0.01	2847.72485	0
Buff_Tau_Intense	0	-1.3380003	-69.93965	0	-1.3380003	0	40	0.01	2213.56079	0
Buff_Tau_Kroot	0	-1.46999979	-43.736908	0	-1.46999979	0	40	0.01	1384.255	0
Buff_Tau_Kroot_FriendlyBoard	-0.362844467	-3.81812477	-46.511322	-0.362844467	-3.81812477	3.6	40	0.01	1586.00244	0
Buff_Tau_Kroot_intense	0	-1.47000027	-58.31588	0	-1.47000027	0	40	0.01	1845.67334	0
Buff_Tau_Water	0	-1.46999979	-43.736908	0	-1.46999979	0	40	0.01	1384.255	0
Buff_Tyranid	-1.52587891E-05	-1.31999969	-72.6668854	-1.52587891E-05	-1.31999969	0.228006363	40	0.01	2307.093	0
Buff_Tyranid Armor	-0.198359013	-0.74550724	-21.2405128	-0.198359013	-0.74550724	0.7959814	40	0.01	697.445862	0
Buff_Tyranid Atk	-1.52587891E-05	-1.31999969	-72.6668854	-1.52587891E-05	-1.31999969	0.228006363	40	0.01	2307.093	0
Buff_Tyranid HP	-1.52587891E-05	-1.31999969	-72.6668854	-1.52587891E-05	-1.31999969	0.228006363	40	0.01	2307.093	0
Buff_UM_Intense	0	-1.3380003	-69.93965	0	-1.3380003	0	40	0.01	2213.56079	0
BulletImpact_1hit_trail_ork	-0.6887839	1.30203164	-34.1782761	-0.6887839	1.30203164	15.3467188	40	0.01	1567.44556	0
BulletImpact_1shot	0.0150243044	-0.00362217426	-2.75815129	0.0150243044	-0.00362217426	0	40	0.01	87.29435	0
BulletImpact_1shot_pointblank	-0.0366152227	-0.0150173306	-1.57979953	-0.0366152227	-0.0150173306	0	40	0.01	50	0
BulletImpact_1shot_random_chaos	0.4572127	0	-37.6764259	0.4572127	0	13.1021814	40	0.01	1607.12183	0
BulletImpact_1shot_random_EC	0.585060835	0	-34.0962448	0.585060835	0	11.2130041	40	0.01	1434.01892	0
BulletImpact_1shot_trail	1.16175079	-1.77238417	-30.52773	1.16175079	-1.77238417	11.7858334	40	0.01	1339.20667	0
BulletImpact_1shot_trail_EC Daemon	0	0	-35.307888	0	0	10.6337576	40	0.01	1454.034	0
BulletImpact_1shotSniper	0.007914782	-0.00715494156	-2.91852212	0.007914782	-0.00715494156	0	40	0.01	92.37002	0
BulletImpact_1shotSniper_trail	1.05177975	-1.60991621	-68.18457	1.05177975	-1.60991621	29.9468822	40	0.01	3105.81982	0
BulletImpact_2shot	0.0257856846	0.040030688	-1.60236728	0.0257856846	0.040030688	0	40	0.01	50.71426	0
BulletImpact_2shot_autocannon	1.80765581	-3.945508	-42.98146	1.80765581	-3.945508	10.6807165	40	0.01	1698.38562	0
BulletImpact_2shot_ork	0.003973782	-0.0485072732	-4.16114569	0.003973782	-0.0485072732	0	40	0.01	131.698532	0
BulletImpact_2shot_pointblank_chaos	0.0373790264	-0.0014449358	-1.72601473	0.0373790264	-0.0014449358	0	40	0.01	54.62765	0
BulletImpact_2shot_pointblank_EC	-0.0134281516	-0.0228497982	-1.72036588	-0.0134281516	-0.0228497982	0	40	0.01	54.4488678	0
BulletImpact_2shot_Titus_AA	-0.287531137	-1.41631532	-33.01441	-0.287531137	-1.41631532	12.7269707	40	0.01	1447.69568	0
BulletImpact_2shot_trail	1.56269741	-1.628921	-32.5691338	1.56269741	-1.628921	12.7272005	40	0.01	1433.61011	0
BulletImpact_2shot_trail_chaos	0.8584173	0	-38.9631958	0.8584173	0	10.56761	40	0.01	1567.62939	0
BulletImpact_2shot_trail_EC	0.466909647	0	-37.9281235	0.466909647	0	10.2100735	40	0.01	1523.55383	0
BulletImpact_2shot_trail_EC Daemon	0	0	-38.1019859	0	0	10.4831991	40	0.01	1537.701	0
BulletImpact_2shot_trail_nurgle	0.8536289	-3.265675	-34.83664	0.8536289	-3.265675	8.455859	40	0.01	1370.1897	0
BulletImpact_2shot_trail_ork_NEW	1.42208743	-4.97327375	-37.984005	1.42208743	-4.97327375	12.6526489	40	0.01	1602.62915	0
BulletImpact_2shot_trail_twinlink	0.313947678	-4.75947475	-39.3395729	0.313947678	-4.75947475	13.8866844	40	0.01	1684.589	0
BulletImpact_3shot	0.0590720177	-0.04797846	-2.13756633	0.0590720177	-0.04797846	0	40	0.01	67.65309	0
BulletImpact_3shot_pointblank	-0.00613078475	0.0236044526	-2.31716418	-0.00613078475	0.0236044526	0	40	0.01	73.33729	0
BulletImpact_3shot_trail	1.542659	-1.73066473	-35.60942	1.542659	-1.73066473	14.1855879	40	0.01	1575.99133	0
BulletImpact_3shot_trail_chaos	1.77221513	-3.43091631	-44.9449234	1.77221513	-3.43091631	11.5120411	40	0.01	1786.83948	0
BulletImpact_3shot_trail_EC	0.606140852	0	-39.8935776	0.606140852	0	11.1517372	40	0.01	1615.563	0
BulletImpact_3shot_trail_ork	1.166841	-2.30807066	-77.14139	1.166841	-2.30807066	32.6017342	40	0.01	3473.32422	0
BulletImpact_4shot	0.009728134	0.0024715066	-3.31293178	0.009728134	0.0024715066	0	40	0.01	104.852913	0
BulletImpact_4shot_trail	1.59365964	-3.39551067	-36.44435	1.59365964	-3.39551067	13.903738	40	0.01	1593.49609	0
BulletImpact_4shot_trail_chaos	0.87304616	-1.53503942	-61.7211227	0.87304616	-1.53503942	21.36804	40	0.01	2629.73755	0
BulletImpact_4shot_trail_EC	1.62510133	-1.55691528	-42.0922356	1.62510133	-1.55691528	11.15064	40	0.01	1685.11487	0
BulletImpact_4shot_trail_nurgle	1.98426843	-1.50196552	-41.34194	1.98426843	-1.50196552	10.57043	40	0.01	1643.005	0
BulletImpact_4shot_trail_twinlink	2.0211494	-5.107298	-38.7675133	2.0211494	-5.107298	13.8830261	40	0.01	1666.36768	0
BulletImpact_5shot	0.0133067966	-0.0336146951	-3.13700414	0.0133067966	-0.0336146951	0	40	0.01	99.28488	0
BulletImpact_5shot_trail	1.84164429	-4.44535351	-38.0833435	1.84164429	-4.44535351	14.1855173	40	0.01	1654.28772	0
BulletImpact_5shot_trail_chaos	1.38003755	-0.2962308	-44.31778	1.38003755	-0.2962308	12.9667416	40	0.01	1813.03137	0
BulletImpact_5shot_trail_EC	1.35076928	-0.86841774	-44.0095673	1.35076928	-0.86841774	12.6093388	40	0.01	1791.965	0
BulletImpact_5shot_trail_ork	1.67758894	-3.88466787	-39.6898575	1.67758894	-3.88466787	14.11171	40	0.01	1702.79736	0
BulletImpact_5shot_trail_ork_low	2.12501764	-2.1809907	-37.8127327	2.12501764	-2.1809907	14.1107826	40	0.01	1643.35767	0
BulletImpact_6shot_autocannon_EC	1.87652516	-4.08052063	-48.85537	1.87652516	-4.08052063	18.3484783	40	0.01	2126.97388	0
BulletImpact_6shot_trail_EC Daemon	0	0	-42.3574524	0	0	12.6035938	40	0.01	1739.49438	0
BulletImpact_9shot	-0.0275580287	0.008076429	-3.11541271	-0.0275580287	0.008076429	0.152848035	40	0.01	103.439095	0
BulletImpact_9shot_trail	2.42620778	-4.431739	-38.4257965	2.42620778	-4.431739	14.1861629	40	0.01	1665.14661	0
BulletImpact_9shot_trail_chaos	1.96177936	-3.71051025	-40.07819	1.96177936	-3.71051025	14.41022	40	0.01	1724.53552	0
BulletImpact_9shot_trail_EC	1.78827119	-3.8077693	-34.22437	1.78827119	-3.8077693	11.1267252	40	0.01	1435.34326	0
BulletImpact_9shot_trail_EC_twinlink	0.053838253	-8.177485	-56.79506	0.053838253	-8.177485	20.300806	40	0.01	2440.052	0
BulletImpact_Abaddon_AA_StormBolter	-0.676897049	-8.595035	-52.4336472	-0.676897049	-8.595035	15.67914	40	0.01	2155.74146	0
BulletImpact_AcidSpit	0.06891382	-0.594875336	-22.1435261	0.06891382	-0.594875336	7.2971077	40	0.01	931.7839	0
BulletImpact_artillery_1shot	0	-7.033535	-132.882	0	-7.033535	0.0454998	40	0.01	4207.1	0
BulletImpact_artillery_arc	0	13.1288834	-69.59269	0	13.1288834	19.14878	40	0.01	2808.63086	0
BulletImpact_artillery_big	0	-7.29252625	-132.882248	0	-7.29252625	0.0454998	40	0.01	4207.108	0
BulletImpact_artillery_manticore	0	-22.2043152	-188.925247	0	-22.2043152	0.0454998	40	0.01	5980.8457	0
BulletImpact_artillery_manticore_spread	0	10.4011564	-49.15365	0	10.4011564	0.0454998	40	0.01	1557.13269	0
BulletImpact_autocannon	0.7998042	-2.106205	-37.5483055	0.7998042	-2.106205	13.8659668	40	0.01	1627.24036	0
BulletImpact_autocannon_Firestrike	-0.004261136	0.0870329142	-40.58039	-0.004261136	0.0870329142	17.7443771	40	0.01	1845.95471	0
BulletImpact_autocannon_Hydra	-0.223590732	0.0521690845	-38.6448822	-0.223590732	0.0521690845	17.5571461	40	0.01	1778.77087	0
BulletImpact_autocannon_rapid	-0.145411253	0.345986724	-37.8465652	-0.145411253	0.345986724	15.70498	40	0.01	1694.88416	0
