file	card_id	name	faction	ev	textA	textB	gt_from_filename	werA	werB	cerA	cerB	agree	non_speech	needs_review
VO_ADS_Celestian Superior - I am the light to your darkness.ogg	SOR36	Celestian Superior	Sororitas	line	I am the light to your darkness.	I am the light to your darkness.	I am the light to your darkness	0.000		0.000		exact		
VO_ADS_Crusader - No heretic shall pass.ogg	SOR11	Crusader	Sororitas	line	No heretic shall pass.	No heretic shall pass.	No heretic shall pass	0.000		0.000		exact		
VO_ADS_Death Cult Assassin - I will offer your blood to the holy Emperor.ogg	SOR16	Death Cult Assassin	Sororitas	line	I will offer your blood to the Holy Emperor.	I will offer your blood to the Holy Emperor.	I will offer your blood to the holy Emperor	0.000		0.000		exact		
VO_ADS_Dialogus - My voice echoes the Emperor's will.ogg	SOR20	Dialogus	Sororitas	line	My voice echoes the Emperor's will.	My voice echoes the Emperor's will.	My voice echoes the Emperor's will	0.000		0.000		exact		
VO_ADS_Dogmata - Do not dare to fail in your duties.ogg	SOR32	Dogmata	Sororitas	line	Do not dare to fail in your duties.	Do not dare to fail in your duties!	Do not dare to fail in your duties	0.000		0.000		case-punct-only		
VO_ADS_Dominion - By my flame you will be purged.ogg	SOR17	Dominion	Sororitas	line	By my flame, you will be purged!	By my flame you will be purged!	By my flame you will be purged	0.000		0.000		case-punct-only		
VO_ADS_Dominion Superior - Death will be a mercy for the faithless ones.ogg	SOR28	Dominion Superior	Sororitas	line	Death will be a mercy for the faithless ones.	Death will be a mercy for the faithless ones.	Death will be a mercy for the faithless ones	0.000		0.000		exact		
VO_ADS_Ephrael Stern - I am the Daemonifuge the thrice-born the bane of daemons.ogg	SOR33	Ephrael Stern	Sororitas	line	I am the demonifuge, the thrice born, the bane of demons.	I am the demonifuge, the thrice-born, the bane of demons.	I am the Daemonifuge the thrice-born the bane of daemons	0.182		0.043		case-punct-only		
VO_ADS_Erika Luminas_Backup1.ogg	SOR1	Erika Luminas	Sororitas	backup1	His immortal benevolence will protect us all.	His immortal benevolence will protect us all.						exact		
VO_ADS_Erika Luminas_Backup2.ogg	SOR1	Erika Luminas	Sororitas	backup2	I cannot let this sacred ground be defiled.	I cannot let this sacred ground be defiled.						exact		
VO_ADS_Erika Luminas_Backup3.ogg	SOR1	Erika Luminas	Sororitas	backup3	Heresy exists in many forms.	Heresy exists in many forms.						exact		
VO_ADS_Erika Luminas_attack.ogg	SOR1	Erika Luminas	Sororitas	attack	Agh!	Ah!						content-word		1
VO_ADS_Erika Luminas_cantDo.ogg	SOR1	Erika Luminas	Sororitas	cantdo	He would not allow this.	He would not allow this.						exact		
VO_ADS_Erika Luminas_concede.ogg	SOR1	Erika Luminas	Sororitas	concede	The blood of martyrs is the seed of the Imperium.	The blood of martyrs is the seed of the Imperium.						exact		
VO_ADS_Erika Luminas_death.ogg	SOR1	Erika Luminas	Sororitas	death	Ahhhh!	*Gasp*						content-word		1
VO_ADS_Erika Luminas_gen1.ogg	SOR1	Erika Luminas	Sororitas	gen1	The Emperors will be done.	The Emperor's will be done.						content-word		1
VO_ADS_Erika Luminas_gen2.ogg	SOR1	Erika Luminas	Sororitas	gen2	Under the light of righteousness, darkness will find no mercy.	Under the light of righteousness, darkness will find no mercy.						exact		
VO_ADS_Erika Luminas_gen3.ogg	SOR1	Erika Luminas	Sororitas	gen3	Clear the enemy. Strike fierce, as Saint Catherine.	Clear the enemy! Strike fierce as Saint Catherine!						case-punct-only		
VO_ADS_Erika Luminas_gen4.ogg	SOR1	Erika Luminas	Sororitas	gen4	He has spoken, and I must fulfil his decree.	He has spoken, and I must fulfill his decree.						content-word		1
VO_ADS_Erika Luminas_gen5.ogg	SOR1	Erika Luminas	Sororitas	gen5	Suffering is my prayer, Face is my armour.	Suffering is my prayer. Faith is my armor.						content-word		1
VO_ADS_Erika Luminas_gen6.ogg	SOR1	Erika Luminas	Sororitas	gen6	We must not falter.	We must not falter.						exact		
VO_ADS_Erika Luminas_gen7.ogg	SOR1	Erika Luminas	Sororitas	gen7	My actions are but a mere extension of his will.	My actions are but a mere extension of his will.						exact		
VO_ADS_Erika Luminas_greet.ogg	SOR1	Erika Luminas	Sororitas	greet	May the Emperor judge the purity of our souls.	May the Emperor judge the purity of our souls.						exact		
VO_ADS_Erika Luminas_hurry.ogg	SOR1	Erika Luminas	Sororitas	hurry	Complacency leads to heresy.	Complacency leads to heresy.						exact		
VO_ADS_Erika Luminas_intro.ogg	SOR1	Erika Luminas	Sororitas	intro	You are defiling sacred ground and will now face his judgement.	You are defiling sacred ground and will now face his judgment.						content-word		1
VO_ADS_Erika Luminas_mirror.ogg	SOR1	Erika Luminas	Sororitas	mirror	No mercy for the unrepentant.	No mercy for the unrepentant.						exact		
VO_ADS_Erika Luminas_threat.ogg	SOR1	Erika Luminas	Sororitas	threat	Your existence is a sin that must be purged.	Your existence is a sin that must be purged.						exact		
VO_ADS_Erika Luminas_vsGhaelyn.ogg	SOR1	Erika Luminas	Sororitas	vsghaelyn	By my blade, your kind will be purged from this system.	By my blade, your kind will be purged from this system.						exact		
VO_ADS_Erika Luminas_vsGordrang.ogg	SOR1	Erika Luminas	Sororitas	vsgordrang	You are but an abomination to be cleansed from his domain.	You are but an abomination to be cleansed from his domain.						exact		
VO_ADS_Erika Luminas_vsHesperax1.ogg	SOR1	Erika Luminas	Sororitas	vshesperax1	Forward sisters, rid Marta's rest of these wretches.	Forward, sisters! Rid Martyr's rest of these wretches!						content-word		1
VO_ADS_Erika Luminas_vsHesperax2.ogg	SOR1	Erika Luminas	Sororitas	vshesperax2	You taint Saint Geraldine's resting with your presence.	You taint St. Geraldine's resting with your presence.						content-word		1
VO_ADS_Erika Luminas_vsHexscorn.ogg	SOR1	Erika Luminas	Sororitas	vshexscorn	I have nothing to give you, but hatred and death tainted one.	I have nothing to give you but hatred and death, tainted one.						case-punct-only		
VO_ADS_Erika Luminas_vsMorvennVahl.ogg	SOR1	Erika Luminas	Sororitas	vsmorvennvahl	Abes Sanctorum, I am honoured by your presence.	Abbes Sanctorum, I am honored by your presence.						content-word		1
VO_ADS_Erika Luminas_vsOrikan.ogg	SOR1	Erika Luminas	Sororitas	vsorikan	Abomination, this time, know when you are slain.	Abomination, this time know when you are slain.						case-punct-only		
VO_ADS_Erika Luminas_wp.ogg	SOR1	Erika Luminas	Sororitas	wp	You fight well for a heretic.	You fight well for a heretic.						exact		
VO_ADS_Exorcist - I bring the requiem to your annihilation.ogg	SOR42	Exorcist	Sororitas	line	I bring the Requiem to your annihilation.	I bring the requiem to your annihilation.	I bring the requiem to your annihilation	0.000		0.000		case-punct-only		
VO_ADS_Hospitaller - No Sister will be left behind.ogg	SOR21	Hospitaller	Sororitas	line	No sister will be left behind!	No sister will be left behind.	No Sister will be left behind	0.000		0.000		case-punct-only		
VO_ADS_Imagifier - Listen to my voice and the saintly deeds of the fallen.ogg	SOR29	Imagifier	Sororitas	line	Listen to my voice, and the saintly deeds of the fallen!	Listen to my voice and the saintly deeds of the fallen.	Listen to my voice and the saintly deeds of the fallen	0.000		0.000		case-punct-only		
VO_ADS_Inmolator - Purge the impure with the Emperor's flame.ogg	SOR39	Immolator	Sororitas	line	Hurts the impure with the Emperor's Flame!	Purge the impure with the Emperor's flame!	Purge the impure with the Emperor's flame	0.143		0.088		content-word		1
VO_ADS_Junith Eruita_Backup1.ogg	SOR3	Junith Eruita	Sororitas	backup1	Those who wronged him shall pay in blood!	Those who wronged him shall pay in blood!						exact		
VO_ADS_Junith Eruita_Backup2.ogg	SOR3	Junith Eruita	Sororitas	backup2	Under the light of the Emperor, all darkness shall be banished.	Under the light of the Emperor, all darkness shall be banished.						exact		
VO_ADS_Junith Eruita_Backup3.ogg	SOR3	Junith Eruita	Sororitas	backup3	Our faith strengthens our resolve.	Our faith strengthens our resolve.						exact		
VO_ADS_Junith Eruita_Backup4.ogg	SOR3	Junith Eruita	Sororitas	backup4	I will not submit to the heretic!	I will not submit to the heretic.						case-punct-only		
VO_ADS_Junith Eruita_attack.ogg	SOR3	Junith Eruita	Sororitas	attack	HUH?	All right.						content-word		1
VO_ADS_Junith Eruita_cantDo.ogg	SOR3	Junith Eruita	Sororitas	cantdo	I cannot do that!	I cannot do that!						exact		
VO_ADS_Junith Eruita_concede.ogg	SOR3	Junith Eruita	Sororitas	concede	We might retreat, but our faith remains unbroken.	We might retreat, but our faith remains unbroken.						exact		
VO_ADS_Junith Eruita_death.ogg	SOR3	Junith Eruita	Sororitas	death	AHHHHHHHHHHHHHHHHHHHHHH	*Groan*						content-word		1
VO_ADS_Junith Eruita_gen1.ogg	SOR3	Junith Eruita	Sororitas	gen1	We are his sword. We are his wrath.	We are his sword. We are his wrath.						exact		
VO_ADS_Junith Eruita_gen2.ogg	SOR3	Junith Eruita	Sororitas	gen2	In the Emperor's name, we will purge the Faithless!	In the Emperor's name, we will purge the Faithless!						exact		
VO_ADS_Junith Eruita_gen3.ogg	SOR3	Junith Eruita	Sororitas	gen3	No sacrifice is too great in the Emperor's name!	No sacrifice is too great in the Emperor's name!						exact		
VO_ADS_Junith Eruita_gen4.ogg	SOR3	Junith Eruita	Sororitas	gen4	Sister's fault or not, for his light guides us through darkness!	Sisters falter not, for his light guides us through darkness!						content-word		1
VO_ADS_Junith Eruita_gen5.ogg	SOR3	Junith Eruita	Sororitas	gen5	Fear death not sisters, for our souls are one with his fire.	Fear death not, sisters, for our souls are one with his fire!						case-punct-only		
VO_ADS_Junith Eruita_gen6.ogg	SOR3	Junith Eruita	Sororitas	gen6	Those who oppose them shall face fiery retribution.	Those who oppose him shall face fiery retribution.						content-word		1
VO_ADS_Junith Eruita_gen7.ogg	SOR3	Junith Eruita	Sororitas	gen7	Under the light of the Emperor, all darkness shall be banished.	Under the light of the Emperor, all darkness shall be banished.						exact		
VO_ADS_Junith Eruita_greet.ogg	SOR3	Junith Eruita	Sororitas	greet	My faith is unyielding, and so are my sisters.	My faith is unyielding, and so are my sisters.						exact		
VO_ADS_Junith Eruita_hurry.ogg	SOR3	Junith Eruita	Sororitas	hurry	We have no time to hesitate!	We have no time to hesitate!						exact		
VO_ADS_Junith Eruita_intro.ogg	SOR3	Junith Eruita	Sororitas	intro	With holy fire you shall be cleansed!	With holy fire you shall be cleansed.						case-punct-only		
VO_ADS_Junith Eruita_mirror.ogg	SOR3	Junith Eruita	Sororitas	mirror	I shall pass his trials with no reluctance.	I shall pass his trials with no reluctance.						exact		
VO_ADS_Junith Eruita_threat.ogg	SOR3	Junith Eruita	Sororitas	threat	You and your cursed kind shall be scoured from existence!	You and your cursed kind shall be scoured from existence!						exact		
VO_ADS_Junith Eruita_vsAbaddon.ogg	SOR3	Junith Eruita	Sororitas	vsabaddon	Repent heretic! For your end draws near!	Repent, heretic, for your end draws near.						case-punct-only		
VO_ADS_Junith Eruita_vsAstraMilitarum.ogg	SOR3	Junith Eruita	Sororitas	vsastramilitarum	Does your faith remain firm, or do you seek penance?	Does your faith remain firm, or do you seek penance?						exact		
VO_ADS_Junith Eruita_vsMorvennVahl.ogg	SOR3	Junith Eruita	Sororitas	vsmorvennvahl	I will fail you not, Abbas Sanctorum.	I will fail you not, Abbas Sanctorum.						exact		
VO_ADS_Junith Eruita_vsZephyrblade.ogg	SOR3	Junith Eruita	Sororitas	vszephyrblade	Your kind should have learned its place by now!	Your kind should have learned its place by now.						case-punct-only		
VO_ADS_Junith Eruita_wp.ogg	SOR3	Junith Eruita	Sororitas	wp	You may lack faith, but your strength is notable.	You may lack faith, but your strength is notable.						exact		
VO_ADS_Ministorum Priest - Let the Emperor's judgment sear their flesh!.ogg	SOR69	Ministorum Priest	Sororitas	line	Emperor's judgment, sear their flesh.	Let the Emperor's judgment sear their flesh!	Let the Emperor's judgment sear their flesh!	0.286		0.167		content-word		1
VO_ADS_Missionary - I herald your demise.ogg	SOR22	Missionary	Sororitas	line	I herald your demise.	I herald your demise.	I herald your demise	0.000		0.000		exact		
VO_ADS_Mortifier  - In battle He offers us redemption.ogg	SOR37	Mortifier	Sororitas	line	In battle, he offers us redemption.	In battle, he offers us redemption.	In battle He offers us redemption	0.000		0.000		exact		
VO_ADS_Morvenn Vahl_Backup1.ogg	SOR5	Morvenn Vahl	Sororitas	backup1	I WILL BRING YOUR END!	I will bring your end!						case-punct-only		
VO_ADS_Morvenn Vahl_Backup2.ogg	SOR5	Morvenn Vahl	Sororitas	backup2	The weak and the faithless, find no deliverance!	The weak and the faithless. Find no deliverance.						case-punct-only		
VO_ADS_Morvenn Vahl_attack.ogg	SOR5	Morvenn Vahl	Sororitas	attack	Huh!	*Gasp*						content-word		1
