file	card_id	name	faction	ev	text	avg_logprob	no_speech_prob	duration_s	elapsed_s	gt_from_filename	retry_no_vad	repaired	clean_flag
VO_ADS_Celestian Sacresant Aveline_greet.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	greet	I have come to deliver you the God Emperor's judgment.	0.0	0.0	3.574	1.4		0		
VO_ADS_Celestian Sacresant Aveline_hurry.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	hurry	Time is in short supply.	0.0	0.0	2.051	1.31		0		
VO_ADS_Celestian Sacresant Aveline_intro.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	intro	The God Emperor is with me!	0.0	0.0	2.321	1.33		0		
VO_ADS_Celestian Sacresant Aveline_mirror.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	mirror	God Emperor, grant us your holy wrath!	0.0	0.0	3.095	1.35		0		
VO_ADS_Celestian Sacresant Aveline_threat.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	threat	I will cast you into the pyre where you belong.	0.0	0.0	3.839	1.4		0		
VO_ADS_Celestian Sacresant Aveline_vsDaemon.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	vsdaemon	Face me, Abomination!	0.0	0.0	2.347	1.32		0		
VO_ADS_Celestian Sacresant Aveline_vsMorvenn.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	vsmorvenn	Under his fire, the wicked will be judged!	0.0	0.0	3.754	1.39		0		
VO_ADS_Celestian Sacresant Aveline_vsNL.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	vsnl	Saint Arabella freed us from fear. Your threats mean nothing, wretch.	0.0	0.0	5.499	1.47		0		
VO_ADS_Celestian Sacresant Aveline_vsSylar.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	vssylar	I will take you down, sorcerer!	0.0	0.0	2.945	1.35		0		
VO_ADS_Celestian Sacresant Aveline_wp.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	wp	A moment slaps in concentration, nothing more.	0.0	0.0	3.403	1.38		0		
VO_ADS_Celestian Superior - I am the light to your darkness.ogg	SOR36	Celestian Superior	Sororitas	line	I am the light to your darkness.	0.0	0.0	4.033	1.36	I am the light to your darkness	0		
VO_ADS_Crusader - No heretic shall pass.ogg	SOR11	Crusader	Sororitas	line	No heretic shall pass.	0.0	0.0	2.262	1.33	No heretic shall pass	0		
VO_ADS_Death Cult Assassin - I will offer your blood to the holy Emperor.ogg	SOR16	Death Cult Assassin	Sororitas	line	I will offer your blood to the Holy Emperor.	0.0	0.0	3.38	1.35	I will offer your blood to the holy Emperor	0		
VO_ADS_Dialogus - My voice echoes the Emperor's will.ogg	SOR20	Dialogus	Sororitas	line	My voice echoes the Emperor's will.	0.0	0.0	3.067	1.34	My voice echoes the Emperor's will	0		
VO_ADS_Dominion - By my flame you will be purged.ogg	SOR17	Dominion	Sororitas	line	By my flame, you will be purged!	0.0	0.0	3.194	1.35	By my flame you will be purged	0		
VO_ADS_Dominion Superior - Death will be a mercy for the faithless ones.ogg	SOR28	Dominion Superior	Sororitas	line	Death will be a mercy for the faithless ones.	0.0	0.0	3.778	1.38	Death will be a mercy for the faithless ones	0		
VO_ADS_Ephrael Stern - I am the Daemonifuge the thrice-born the bane of daemons.ogg	SOR33	Ephrael Stern	Sororitas	line	I am the demonifuge, the thrice born, the bane of demons.	0.0	0.0	6.941	1.47	I am the Daemonifuge the thrice-born the bane of daemons	0		
VO_ADS_Erika Luminas_Backup1.ogg	SOR1	Erika Luminas	Sororitas	backup1	His immortal benevolence will protect us all.	0.0	0.0	2.846	1.33		0		
VO_ADS_Erika Luminas_Backup2.ogg	SOR1	Erika Luminas	Sororitas	backup2	I cannot let this sacred ground be defiled.	0.0	0.0	2.878	1.37		0		
VO_ADS_Erika Luminas_Backup3.ogg	SOR1	Erika Luminas	Sororitas	backup3	Heresy exists in many forms.	0.0	0.0	2.962	1.32		0		
VO_ADS_Erika Luminas_attack.ogg	SOR1	Erika Luminas	Sororitas	attack	Agh!	0.0	0.0	0.739	1.29		1		
VO_ADS_Erika Luminas_cantDo.ogg	SOR1	Erika Luminas	Sororitas	cantdo	He would not allow this.	0.0	0.0	1.482	1.28		0		
VO_ADS_Erika Luminas_concede.ogg	SOR1	Erika Luminas	Sororitas	concede	The blood of martyrs is the seed of the Imperium.	0.0	0.0	3.635	1.42		0		
VO_ADS_Erika Luminas_death.ogg	SOR1	Erika Luminas	Sororitas	death	Ahhhh!	0.0	0.0	2.544	3.48		0		
VO_ADS_Erika Luminas_gen1.ogg	SOR1	Erika Luminas	Sororitas	gen1	The Emperors will be done.	0.0	0.0	2.315	1.3		0		
VO_ADS_Erika Luminas_gen2.ogg	SOR1	Erika Luminas	Sororitas	gen2	Under the light of righteousness, darkness will find no mercy.	0.0	0.0	5.418	1.39		0		
VO_ADS_Erika Luminas_gen3.ogg	SOR1	Erika Luminas	Sororitas	gen3	Clear the enemy. Strike fierce, as Saint Catherine.	0.0	0.0	3.992	1.35		0		
VO_ADS_Erika Luminas_gen4.ogg	SOR1	Erika Luminas	Sororitas	gen4	He has spoken, and I must fulfil his decree.	0.0	0.0	3.667	1.37		0		
VO_ADS_Erika Luminas_gen5.ogg	SOR1	Erika Luminas	Sororitas	gen5	Suffering is my prayer, Face is my armour.	0.0	0.0	3.943	1.39		0		
VO_ADS_Erika Luminas_gen6.ogg	SOR1	Erika Luminas	Sororitas	gen6	We must not falter.	0.0	0.0	2.274	1.3		0		
VO_ADS_Erika Luminas_gen7.ogg	SOR1	Erika Luminas	Sororitas	gen7	My actions are but a mere extension of his will.	0.0	0.0	3.586	1.37		0		
VO_ADS_Erika Luminas_greet.ogg	SOR1	Erika Luminas	Sororitas	greet	May the Emperor judge the purity of our souls.	0.0	0.0	3.592	1.32		0		
VO_ADS_Erika Luminas_hurry.ogg	SOR1	Erika Luminas	Sororitas	hurry	Complacency leads to heresy.	0.0	0.0	2.55	1.33		0		
VO_ADS_Erika Luminas_intro.ogg	SOR1	Erika Luminas	Sororitas	intro	You are defiling sacred ground and will now face his judgement.	0.0	0.0	5.005	1.39		0		
VO_ADS_Erika Luminas_mirror.ogg	SOR1	Erika Luminas	Sororitas	mirror	No mercy for the unrepentant.	0.0	0.0	2.501	1.35		0		
VO_ADS_Erika Luminas_threat.ogg	SOR1	Erika Luminas	Sororitas	threat	Your existence is a sin that must be purged.	0.0	0.0	3.865	1.36		0		
VO_ADS_Erika Luminas_vsGhaelyn.ogg	SOR1	Erika Luminas	Sororitas	vsghaelyn	By my blade, your kind will be purged from this system.	0.0	0.0	5.061	1.37		0		
VO_ADS_Erika Luminas_vsGordrang.ogg	SOR1	Erika Luminas	Sororitas	vsgordrang	You are but an abomination to be cleansed from his domain.	0.0	0.0	5.287	1.41		0		
VO_ADS_Erika Luminas_vsHesperax1.ogg	SOR1	Erika Luminas	Sororitas	vshesperax1	Forward sisters, rid Marta's rest of these wretches.	0.0	0.0	4.483	1.4		0		
VO_ADS_Erika Luminas_vsHesperax2.ogg	SOR1	Erika Luminas	Sororitas	vshesperax2	You taint Saint Geraldine's resting with your presence.	0.0	0.0	4.59	1.39		0		
VO_ADS_Erika Luminas_vsHexscorn.ogg	SOR1	Erika Luminas	Sororitas	vshexscorn	I have nothing to give you, but hatred and death tainted one.	0.0	0.0	4.689	1.41		0		
VO_ADS_Erika Luminas_vsMorvennVahl.ogg	SOR1	Erika Luminas	Sororitas	vsmorvennvahl	Abes Sanctorum, I am honoured by your presence.	0.0	0.0	4.283	1.41		0		
VO_ADS_Erika Luminas_vsOrikan.ogg	SOR1	Erika Luminas	Sororitas	vsorikan	Abomination, this time, know when you are slain.	0.0	0.0	3.929	1.38		0		
VO_ADS_Erika Luminas_wp.ogg	SOR1	Erika Luminas	Sororitas	wp	You fight well for a heretic.	0.0	0.0	2.289	1.34		0		
VO_ADS_Exorcist - I bring the requiem to your annihilation.ogg	SOR42	Exorcist	Sororitas	line	I bring the Requiem to your annihilation.	0.0	0.0	4.274	1.36	I bring the requiem to your annihilation	0		
VO_ADS_Hospitaller - No Sister will be left behind.ogg	SOR21	Hospitaller	Sororitas	line	No sister will be left behind!	0.0	0.0	3.046	1.34	No Sister will be left behind	0		
VO_ADS_Imagifier - Listen to my voice and the saintly deeds of the fallen.ogg	SOR29	Imagifier	Sororitas	line	Listen to my voice, and the saintly deeds of the fallen!	0.0	0.0	4.576	1.4	Listen to my voice and the saintly deeds of the fallen	0		
VO_ADS_Inmolator - Purge the impure with the Emperor's flame.ogg	SOR39	Immolator	Sororitas	line	Hurts the impure with the Emperor's Flame!	0.0	0.0	3.128	1.37	Purge the impure with the Emperor's flame	0		
VO_ADS_Junith Eruita_Backup1.ogg	SOR3	Junith Eruita	Sororitas	backup1	Those who wronged him shall pay in blood!	0.0	0.0	3.307	1.35		0		
VO_ADS_Junith Eruita_Backup2.ogg	SOR3	Junith Eruita	Sororitas	backup2	Under the light of the Emperor, all darkness shall be banished.	0.0	0.0	4.309	1.46		0		
VO_ADS_Junith Eruita_Backup3.ogg	SOR3	Junith Eruita	Sororitas	backup3	Our faith strengthens our resolve.	0.0	0.0	2.977	1.34		0		
VO_ADS_Junith Eruita_Backup4.ogg	SOR3	Junith Eruita	Sororitas	backup4	I will not submit to the heretic!	0.0	0.0	2.695	1.39		0		
VO_ADS_Junith Eruita_attack.ogg	SOR3	Junith Eruita	Sororitas	attack	HUH?	0.0	0.0	0.617	1.31		0		
VO_ADS_Junith Eruita_cantDo.ogg	SOR3	Junith Eruita	Sororitas	cantdo	I cannot do that!	0.0	0.0	1.07	1.28		0		
VO_ADS_Junith Eruita_concede.ogg	SOR3	Junith Eruita	Sororitas	concede	We might retreat, but our faith remains unbroken.	0.0	0.0	3.464	1.38		0		
VO_ADS_Junith Eruita_death.ogg	SOR3	Junith Eruita	Sororitas	death	AHHHHHHHHHHHHHHHHHHHHHH	0.0	0.0	2.306	1.32		1		
VO_ADS_Junith Eruita_gen1.ogg	SOR3	Junith Eruita	Sororitas	gen1	We are his sword. We are his wrath.	0.0	0.0	3.998	1.36		0		
VO_ADS_Junith Eruita_gen2.ogg	SOR3	Junith Eruita	Sororitas	gen2	In the Emperor's name, we will purge the Faithless!	0.0	0.0	3.406	1.38		0		
VO_ADS_Junith Eruita_gen3.ogg	SOR3	Junith Eruita	Sororitas	gen3	No sacrifice is too great in the Emperor's name!	0.0	0.0	3.717	1.37		0		
VO_ADS_Junith Eruita_gen4.ogg	SOR3	Junith Eruita	Sororitas	gen4	Sister's fault or not, for his light guides us through darkness!	0.0	0.0	4.059	1.4		0		
VO_ADS_Junith Eruita_gen5.ogg	SOR3	Junith Eruita	Sororitas	gen5	Fear death not sisters, for our souls are one with his fire.	0.0	0.0	5.545	1.42		0		
VO_ADS_Junith Eruita_gen6.ogg	SOR3	Junith Eruita	Sororitas	gen6	Those who oppose them shall face fiery retribution.	0.0	0.0	3.571	1.35		0		
VO_ADS_Junith Eruita_gen7.ogg	SOR3	Junith Eruita	Sororitas	gen7	Under the light of the Emperor, all darkness shall be banished.	0.0	0.0	4.309	1.41		0		
VO_ADS_Junith Eruita_greet.ogg	SOR3	Junith Eruita	Sororitas	greet	My faith is unyielding, and so are my sisters.	0.0	0.0	4.172	1.39		0		
VO_ADS_Junith Eruita_hurry.ogg	SOR3	Junith Eruita	Sororitas	hurry	We have no time to hesitate!	0.0	0.0	1.879	1.32		0		
VO_ADS_Junith Eruita_intro.ogg	SOR3	Junith Eruita	Sororitas	intro	With holy fire you shall be cleansed!	0.0	0.0	2.881	1.35		0		
VO_ADS_Junith Eruita_mirror.ogg	SOR3	Junith Eruita	Sororitas	mirror	I shall pass his trials with no reluctance.	0.0	0.0	3.319	1.35		0		
VO_ADS_Junith Eruita_threat.ogg	SOR3	Junith Eruita	Sororitas	threat	You and your cursed kind shall be scoured from existence!	0.0	0.0	4.834	1.43		0		
VO_ADS_Junith Eruita_vsAbaddon.ogg	SOR3	Junith Eruita	Sororitas	vsabaddon	Repent heretic! For your end draws near!	0.0	0.0	3.728	1.42		0		
VO_ADS_Junith Eruita_vsAstraMilitarum.ogg	SOR3	Junith Eruita	Sororitas	vsastramilitarum	Does your faith remain firm, or do you seek penance?	0.0	0.0	4.332	1.52		0		
VO_ADS_Junith Eruita_vsMorvennVahl.ogg	SOR3	Junith Eruita	Sororitas	vsmorvennvahl	I will fail you not, Abbas Sanctorum.	0.0	0.0	3.226	1.45		0		
VO_ADS_Junith Eruita_vsZephyrblade.ogg	SOR3	Junith Eruita	Sororitas	vszephyrblade	Your kind should have learned its place by now!	0.0	0.0	3.061	1.45		0		
VO_ADS_Junith Eruita_wp.ogg	SOR3	Junith Eruita	Sororitas	wp	You may lack faith, but your strength is notable.	0.0	0.0	3.571	1.46		0		
VO_ADS_Ministorum Priest - Let the Emperor's judgment sear their flesh!.ogg	SOR69	Ministorum Priest	Sororitas	line	Emperor's judgment, sear their flesh.	0.0	0.0	3.678	1.45	Let the Emperor's judgment sear their flesh!	0		
VO_ADS_Missionary - I herald your demise.ogg	SOR22	Missionary	Sororitas	line	I herald your demise.	0.0	0.0	3.101	1.37	I herald your demise	0		
VO_ADS_Mortifier  - In battle He offers us redemption.ogg	SOR37	Mortifier	Sororitas	line	In battle, he offers us redemption.	0.0	0.0	3.22	1.43	In battle He offers us redemption	0		
VO_ADS_Morvenn Vahl_Backup1.ogg	SOR5	Morvenn Vahl	Sororitas	backup1	I WILL BRING YOUR END!	0.0	0.0	1.885	1.41		0		
VO_ADS_Morvenn Vahl_Backup2.ogg	SOR5	Morvenn Vahl	Sororitas	backup2	The weak and the faithless, find no deliverance!	0.0	0.0	3.345	1.46		0		
VO_ADS_Morvenn Vahl_attack.ogg	SOR5	Morvenn Vahl	Sororitas	attack	Huh!	0.0	0.0	0.431	1.31		0		
VO_ADS_Morvenn Vahl_cantDo.ogg	SOR5	Morvenn Vahl	Sororitas	cantdo	I cannot do that!	0.0	0.0	1.209	1.37		0		
VO_ADS_Morvenn Vahl_concede.ogg	SOR5	Morvenn Vahl	Sororitas	concede	This does not end here!	0.0	0.0	1.778	1.38		0		
VO_ADS_Morvenn Vahl_death.ogg	SOR5	Morvenn Vahl	Sororitas	death	Nyaaah!	0.0	0.0	1.621	5.29		1		
VO_ADS_Morvenn Vahl_gen1.ogg	SOR5	Morvenn Vahl	Sororitas	gen1	A single deed is worth countless words.	0.0	0.0	3.127	1.41		0		
VO_ADS_Morvenn Vahl_gen2.ogg	SOR5	Morvenn Vahl	Sororitas	gen2	Through bloody example, I will lead us to victory!	0.0	0.0	4.724	1.46		0		
VO_ADS_Morvenn Vahl_gen3.ogg	SOR5	Morvenn Vahl	Sororitas	gen3	Defy us, and be ready to feel the Emperor's wrath.	0.0	0.0	4.222	1.47		0		
VO_ADS_Morvenn Vahl_gen4.ogg	SOR5	Morvenn Vahl	Sororitas	gen4	Under his light, all shadows will wither.	0.0	0.0	3.952	1.48		0		
VO_ADS_Morvenn Vahl_gen5.ogg	SOR5	Morvenn Vahl	Sororitas	gen5	Any display of weakness shall be punished.	0.0	0.0	3.142	1.41		0		
VO_ADS_Morvenn Vahl_gen6.ogg	SOR5	Morvenn Vahl	Sororitas	gen6	Faith is my shield, and his will my blade.	0.0	0.0	3.371	1.47		0		
VO_ADS_Morvenn Vahl_gen7.ogg	SOR5	Morvenn Vahl	Sororitas	gen7	There shall be no mercy for the unworthy.	0.0	0.0	2.489	1.44		0		
VO_ADS_Morvenn Vahl_greet.ogg	SOR5	Morvenn Vahl	Sororitas	greet	The Emperor is with me in this battle!	0.0	0.0	2.86	1.49		0		
VO_ADS_Morvenn Vahl_hurry.ogg	SOR5	Morvenn Vahl	Sororitas	hurry	It is time to act!	0.0	0.0	1.557	1.36		0		
VO_ADS_Morvenn Vahl_intro.ogg	SOR5	Morvenn Vahl	Sororitas	intro	In the Emperor's name, I will end you.	0.0	0.0	3.876	1.44		0		
VO_ADS_Morvenn Vahl_mirror.ogg	SOR5	Morvenn Vahl	Sororitas	mirror	I will not fall for this treachery.	0.0	0.0	2.094	1.43		0		
VO_ADS_Morvenn Vahl_threat.ogg	SOR5	Morvenn Vahl	Sororitas	threat	I will not suffer you to live!	0.0	0.0	2.518	1.44		0		
VO_ADS_Morvenn Vahl_vsAstraMilitarum.ogg	SOR5	Morvenn Vahl	Sororitas	vsastramilitarum	If your fate crumbles, so shall you.	0.0	0.0	3.659	1.47		0		
VO_ADS_Morvenn Vahl_vsGrukk.ogg	SOR5	Morvenn Vahl	Sororitas	vsgrukk	To know the alien is to hate the alien.	0.0	0.0	3.708	1.51		0		
VO_ADS_Morvenn Vahl_vsHaarken.ogg	SOR5	Morvenn Vahl	Sororitas	vshaarken	Your heresy ends now. Pwn at the despoiler!	0.0	0.0	3.783	1.5		0		
VO_ADS_Morvenn Vahl_vsJunith.ogg	SOR5	Morvenn Vahl	Sororitas	vsjunith	Let us see if you are worthy of the duty bestowed upon you!	0.0	0.0	4.146	1.55		0		
VO_ADS_Morvenn Vahl_vsLuminas.ogg	SOR5	Morvenn Vahl	Sororitas	vsluminas	May his light guide our way, sister.	0.0	0.0	2.715	1.45		0		
VO_ADS_Morvenn Vahl_vsOrikan.ogg	SOR5	Morvenn Vahl	Sororitas	vsorikan	How does it feel to foresee your own death?	0.0	0.0	3.168	1.49		0		
VO_ADS_Morvenn Vahl_vsShadowsun.ogg	SOR5	Morvenn Vahl	Sororitas	vsshadowsun	Yours is a faithless race, worthy only of extermination.	0.0	0.0	4.802	1.73		0		
VO_ADS_Morvenn Vahl_wp.ogg	SOR5	Morvenn Vahl	Sororitas	wp	Vahl Witchcraft has lent you strength!	0.0	0.0	2.396	1.53		0		
VO_ADS_Paragon Warsuit - We bring judgment upon the heretic.ogg	SOR40	Paragon Warsuit	Sororitas	line	We bring judgement upon the heretic!	0.0	0.0	2.921	1.49	We bring judgment upon the heretic	0		
VO_ADS_Penitent Engine - Tortured scream.ogg	SOR34	Penitent Engine	Sororitas	line	OHHH! AHHHH! AHHHHHHH!	0.0	0.0	3.873	17.65	Tortured scream	1		
VO_ADS_Preacher - The holy radiance of the Emperor burns within me.ogg	SOR12	Preacher	Sororitas	line	The holy radiance of the Emperor burns within me.	0.0	0.0	3.194	1.45	The holy radiance of the Emperor burns within me	0		
