file	card_id	name	faction	ev	text	elapsed_s	gt_from_filename	clean_flag
VO_ADS_Celestian Sacresant Aveline_intro.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	intro	The God Emperor is with me!	9.69		
VO_ADS_Celestian Sacresant Aveline_mirror.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	mirror	Good Emperor, grant us your holy wrath!	9.65		
VO_ADS_Celestian Sacresant Aveline_threat.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	threat	I will cast you into the pyre where you belong.	9.11		
VO_ADS_Celestian Sacresant Aveline_vsDaemon.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	vsdaemon	Face me, abomination!	9.37		
VO_ADS_Celestian Sacresant Aveline_vsMorvenn.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	vsmorvenn	Under his fire, the wicked will be judged.	9.2		
VO_ADS_Celestian Sacresant Aveline_vsNL.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	vsnl	Saint Arabella freed us from fear. Your threats mean nothing, wretch.	9.02		
VO_ADS_Celestian Sacresant Aveline_vsSylar.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	vssylar	I will take you down, sorcerer!	8.99		
VO_ADS_Celestian Sacresant Aveline_wp.ogg	SOR_Celestian_Sacresant_Aveline	Celestian Sacresant Aveline	Sororitas	wp	A moment slaps in concentration. Nothing more.	8.99		
VO_ADS_Celestian Superior - I am the light to your darkness.ogg	SOR36	Celestian Superior	Sororitas	line	I am the light to your darkness.	9.16	I am the light to your darkness	
VO_ADS_Crusader - No heretic shall pass.ogg	SOR11	Crusader	Sororitas	line	No heretic shall pass.	9.41	No heretic shall pass	
VO_ADS_Death Cult Assassin - I will offer your blood to the holy Emperor.ogg	SOR16	Death Cult Assassin	Sororitas	line	I will offer your blood to the Holy Emperor.	9.13	I will offer your blood to the holy Emperor	
VO_ADS_Dialogus - My voice echoes the Emperor's will.ogg	SOR20	Dialogus	Sororitas	line	My voice echoes the Emperor's will.	9.84	My voice echoes the Emperor's will	
VO_ADS_Dominion - By my flame you will be purged.ogg	SOR17	Dominion	Sororitas	line	By my flame you will be purged!	9.84	By my flame you will be purged	
VO_ADS_Dominion Superior - Death will be a mercy for the faithless ones.ogg	SOR28	Dominion Superior	Sororitas	line	Death will be a mercy for the faithless ones.	9.97	Death will be a mercy for the faithless ones	
VO_ADS_Ephrael Stern - I am the Daemonifuge the thrice-born the bane of daemons.ogg	SOR33	Ephrael Stern	Sororitas	line	I am the demonifuge, the thrice-born, the bane of demons.	9.94	I am the Daemonifuge the thrice-born the bane of daemons	
VO_ADS_Erika Luminas_Backup1.ogg	SOR1	Erika Luminas	Sororitas	backup1	His immortal benevolence will protect us all.	9.75		
VO_ADS_Erika Luminas_Backup2.ogg	SOR1	Erika Luminas	Sororitas	backup2	I cannot let this sacred ground be defiled.	10.15		
VO_ADS_Erika Luminas_Backup3.ogg	SOR1	Erika Luminas	Sororitas	backup3	Heresy exists in many forms.	9.91		
VO_ADS_Erika Luminas_attack.ogg	SOR1	Erika Luminas	Sororitas	attack	Ah!	10.19		generic
VO_ADS_Erika Luminas_cantDo.ogg	SOR1	Erika Luminas	Sororitas	cantdo	He would not allow this.	9.93		
VO_ADS_Erika Luminas_concede.ogg	SOR1	Erika Luminas	Sororitas	concede	The blood of martyrs is the seed of the Imperium.	10.02		
VO_ADS_Erika Luminas_death.ogg	SOR1	Erika Luminas	Sororitas	death	*Gasp*	10.02		
VO_ADS_Erika Luminas_gen1.ogg	SOR1	Erika Luminas	Sororitas	gen1	The Emperor's will be done.	10.24		
VO_ADS_Erika Luminas_gen2.ogg	SOR1	Erika Luminas	Sororitas	gen2	Under the light of righteousness, darkness will find no mercy.	10.06		
VO_ADS_Erika Luminas_gen3.ogg	SOR1	Erika Luminas	Sororitas	gen3	Clear the enemy! Strike fierce as Saint Catherine!	10.35		
VO_ADS_Erika Luminas_gen4.ogg	SOR1	Erika Luminas	Sororitas	gen4	He has spoken, and I must fulfill his decree.	14.17		
VO_ADS_Erika Luminas_gen5.ogg	SOR1	Erika Luminas	Sororitas	gen5	Suffering is my prayer. Faith is my armor.	11.34		
VO_ADS_Erika Luminas_gen6.ogg	SOR1	Erika Luminas	Sororitas	gen6	We must not falter.	9.78		
VO_ADS_Erika Luminas_gen7.ogg	SOR1	Erika Luminas	Sororitas	gen7	My actions are but a mere extension of his will.	10.01		
VO_ADS_Erika Luminas_greet.ogg	SOR1	Erika Luminas	Sororitas	greet	May the Emperor judge the purity of our souls.	10.6		
VO_ADS_Erika Luminas_hurry.ogg	SOR1	Erika Luminas	Sororitas	hurry	Complacency leads to heresy.	11.22		
VO_ADS_Erika Luminas_intro.ogg	SOR1	Erika Luminas	Sororitas	intro	You are defiling sacred ground and will now face his judgment.	10.22		
VO_ADS_Erika Luminas_mirror.ogg	SOR1	Erika Luminas	Sororitas	mirror	No mercy for the unrepentant.	10.26		
VO_ADS_Erika Luminas_threat.ogg	SOR1	Erika Luminas	Sororitas	threat	Your existence is a sin that must be purged.	9.89		
VO_ADS_Erika Luminas_vsGhaelyn.ogg	SOR1	Erika Luminas	Sororitas	vsghaelyn	By my blade, your kind will be purged from this system.	9.91		
VO_ADS_Erika Luminas_vsGordrang.ogg	SOR1	Erika Luminas	Sororitas	vsgordrang	You are but an abomination to be cleansed from his domain.	9.2		
VO_ADS_Erika Luminas_vsHesperax1.ogg	SOR1	Erika Luminas	Sororitas	vshesperax1	Forward, sisters! Rid Martyr's rest of these wretches!	9.38		
VO_ADS_Erika Luminas_vsHesperax2.ogg	SOR1	Erika Luminas	Sororitas	vshesperax2	You taint St. Geraldine's resting with your presence.	10.53		
VO_ADS_Erika Luminas_vsHexscorn.ogg	SOR1	Erika Luminas	Sororitas	vshexscorn	I have nothing to give you but hatred and death, tainted one.	11.39		
VO_ADS_Erika Luminas_vsMorvennVahl.ogg	SOR1	Erika Luminas	Sororitas	vsmorvennvahl	Abbes Sanctorum, I am honored by your presence.	9.8		
VO_ADS_Erika Luminas_vsOrikan.ogg	SOR1	Erika Luminas	Sororitas	vsorikan	Abomination, this time know when you are slain.	9.38		
VO_ADS_Erika Luminas_wp.ogg	SOR1	Erika Luminas	Sororitas	wp	You fight well for a heretic.	10.74		
VO_ADS_Exorcist - I bring the requiem to your annihilation.ogg	SOR42	Exorcist	Sororitas	line	I bring the requiem to your annihilation.	10.34	I bring the requiem to your annihilation	
VO_ADS_Hospitaller - No Sister will be left behind.ogg	SOR21	Hospitaller	Sororitas	line	No sister will be left behind.	10.86	No Sister will be left behind	
VO_ADS_Imagifier - Listen to my voice and the saintly deeds of the fallen.ogg	SOR29	Imagifier	Sororitas	line	Listen to my voice and the saintly deeds of the fallen.	10.11	Listen to my voice and the saintly deeds of the fallen	
VO_ADS_Inmolator - Purge the impure with the Emperor's flame.ogg	SOR39	Immolator	Sororitas	line	Purge the impure with the Emperor's flame!	9.62	Purge the impure with the Emperor's flame	
VO_ADS_Junith Eruita_Backup1.ogg	SOR3	Junith Eruita	Sororitas	backup1	Those who wronged him shall pay in blood!	9.36		
VO_ADS_Junith Eruita_Backup2.ogg	SOR3	Junith Eruita	Sororitas	backup2	Under the light of the Emperor, all darkness shall be banished.	9.72		
VO_ADS_Junith Eruita_Backup3.ogg	SOR3	Junith Eruita	Sororitas	backup3	Our faith strengthens our resolve.	9.25		
VO_ADS_Junith Eruita_Backup4.ogg	SOR3	Junith Eruita	Sororitas	backup4	I will not submit to the heretic.	9.47		
VO_ADS_Junith Eruita_attack.ogg	SOR3	Junith Eruita	Sororitas	attack	All right.	9.42		
VO_ADS_Junith Eruita_cantDo.ogg	SOR3	Junith Eruita	Sororitas	cantdo	I cannot do that!	9.48		
VO_ADS_Junith Eruita_concede.ogg	SOR3	Junith Eruita	Sororitas	concede	We might retreat, but our faith remains unbroken.	9.71		
VO_ADS_Junith Eruita_death.ogg	SOR3	Junith Eruita	Sororitas	death	*Groan*	10.34		
VO_ADS_Junith Eruita_gen1.ogg	SOR3	Junith Eruita	Sororitas	gen1	We are his sword. We are his wrath.	8.99		
VO_ADS_Junith Eruita_gen2.ogg	SOR3	Junith Eruita	Sororitas	gen2	In the Emperor's name, we will purge the Faithless!	9.17		
VO_ADS_Junith Eruita_gen3.ogg	SOR3	Junith Eruita	Sororitas	gen3	No sacrifice is too great in the Emperor's name!	8.87		
VO_ADS_Junith Eruita_gen4.ogg	SOR3	Junith Eruita	Sororitas	gen4	Sisters falter not, for his light guides us through darkness!	9.0		
VO_ADS_Junith Eruita_gen5.ogg	SOR3	Junith Eruita	Sororitas	gen5	Fear death not, sisters, for our souls are one with his fire!	9.65		
VO_ADS_Junith Eruita_gen6.ogg	SOR3	Junith Eruita	Sororitas	gen6	Those who oppose him shall face fiery retribution.	8.88		
VO_ADS_Junith Eruita_gen7.ogg	SOR3	Junith Eruita	Sororitas	gen7	Under the light of the Emperor, all darkness shall be banished.	9.23		
VO_ADS_Junith Eruita_greet.ogg	SOR3	Junith Eruita	Sororitas	greet	My faith is unyielding, and so are my sisters.	9.2		
VO_ADS_Junith Eruita_hurry.ogg	SOR3	Junith Eruita	Sororitas	hurry	We have no time to hesitate!	10.06		
VO_ADS_Junith Eruita_intro.ogg	SOR3	Junith Eruita	Sororitas	intro	With holy fire you shall be cleansed.	10.22		
VO_ADS_Junith Eruita_mirror.ogg	SOR3	Junith Eruita	Sororitas	mirror	I shall pass his trials with no reluctance.	10.19		
VO_ADS_Junith Eruita_threat.ogg	SOR3	Junith Eruita	Sororitas	threat	You and your cursed kind shall be scoured from existence!	10.15		
VO_ADS_Junith Eruita_vsAbaddon.ogg	SOR3	Junith Eruita	Sororitas	vsabaddon	Repent, heretic, for your end draws near.	10.22		
VO_ADS_Junith Eruita_vsAstraMilitarum.ogg	SOR3	Junith Eruita	Sororitas	vsastramilitarum	Does your faith remain firm, or do you seek penance?	9.86		
VO_ADS_Junith Eruita_vsMorvennVahl.ogg	SOR3	Junith Eruita	Sororitas	vsmorvennvahl	I will fail you not, Abbas Sanctorum.	10.2		
VO_ADS_Junith Eruita_vsZephyrblade.ogg	SOR3	Junith Eruita	Sororitas	vszephyrblade	Your kind should have learned its place by now.	10.13		
VO_ADS_Junith Eruita_wp.ogg	SOR3	Junith Eruita	Sororitas	wp	You may lack faith, but your strength is notable.	10.34		
VO_ADS_Ministorum Priest - Let the Emperor's judgment sear their flesh!.ogg	SOR69	Ministorum Priest	Sororitas	line	Let the Emperor's judgment sear their flesh!	10.19	Let the Emperor's judgment sear their flesh!	
VO_ADS_Missionary - I herald your demise.ogg	SOR22	Missionary	Sororitas	line	I herald your demise.	9.87	I herald your demise	
VO_ADS_Mortifier  - In battle He offers us redemption.ogg	SOR37	Mortifier	Sororitas	line	In battle, he offers us redemption.	9.96	In battle He offers us redemption	
VO_ADS_Morvenn Vahl_Backup1.ogg	SOR5	Morvenn Vahl	Sororitas	backup1	I will bring your end!	9.49		
VO_ADS_Morvenn Vahl_Backup2.ogg	SOR5	Morvenn Vahl	Sororitas	backup2	The weak and the faithless. Find no deliverance.	9.24		
VO_ADS_Morvenn Vahl_attack.ogg	SOR5	Morvenn Vahl	Sororitas	attack	*Gasp*	8.97		
VO_ADS_Morvenn Vahl_cantDo.ogg	SOR5	Morvenn Vahl	Sororitas	cantdo	I cannot do that.	9.03		
VO_ADS_Morvenn Vahl_concede.ogg	SOR5	Morvenn Vahl	Sororitas	concede	This does not end here!	9.07		
VO_ADS_Morvenn Vahl_death.ogg	SOR5	Morvenn Vahl	Sororitas	death	AHHHHHHHHH!	9.21		
VO_ADS_Morvenn Vahl_gen1.ogg	SOR5	Morvenn Vahl	Sororitas	gen1	A single deed is worth countless words.	9.26		
VO_ADS_Morvenn Vahl_gen2.ogg	SOR5	Morvenn Vahl	Sororitas	gen2	Through bloody example, I will lead us to victory!	9.84		
VO_ADS_Morvenn Vahl_gen3.ogg	SOR5	Morvenn Vahl	Sororitas	gen3	Defy us, and be ready to feel the Emperor's wrath.	9.61		
VO_ADS_Morvenn Vahl_gen4.ogg	SOR5	Morvenn Vahl	Sororitas	gen4	Under his light, all shadows will wither.	9.73		
VO_ADS_Morvenn Vahl_gen5.ogg	SOR5	Morvenn Vahl	Sororitas	gen5	Any display of weakness shall be punished.	9.09		
VO_ADS_Morvenn Vahl_gen6.ogg	SOR5	Morvenn Vahl	Sororitas	gen6	Faith is my shield, and his will my blade.	9.09		
VO_ADS_Morvenn Vahl_gen7.ogg	SOR5	Morvenn Vahl	Sororitas	gen7	There shall be no mercy for the unworthy.	9.05		
VO_ADS_Morvenn Vahl_greet.ogg	SOR5	Morvenn Vahl	Sororitas	greet	The Emperor is with me in this battle!	9.02		
VO_ADS_Morvenn Vahl_hurry.ogg	SOR5	Morvenn Vahl	Sororitas	hurry	It is time to act!	9.08		
VO_ADS_Morvenn Vahl_intro.ogg	SOR5	Morvenn Vahl	Sororitas	intro	In the Emperor's name, I will end you.	9.15		
VO_ADS_Morvenn Vahl_mirror.ogg	SOR5	Morvenn Vahl	Sororitas	mirror	I will not fall for this treachery.	9.31		
VO_ADS_Morvenn Vahl_threat.ogg	SOR5	Morvenn Vahl	Sororitas	threat	I will not suffer you to live!	9.51		
VO_ADS_Morvenn Vahl_vsAstraMilitarum.ogg	SOR5	Morvenn Vahl	Sororitas	vsastramilitarum	If your faith crumbles, so shall you.	8.98		
VO_ADS_Morvenn Vahl_vsGrukk.ogg	SOR5	Morvenn Vahl	Sororitas	vsgrukk	To know the alien is to hate the alien!	9.05		
VO_ADS_Morvenn Vahl_vsHaarken.ogg	SOR5	Morvenn Vahl	Sororitas	vshaarken	Your heresy ends now. Porn of the despoiler!	10.0		
VO_ADS_Morvenn Vahl_vsJunith.ogg	SOR5	Morvenn Vahl	Sororitas	vsjunith	Let us see if you are worthy of the duty bestowed upon you.	9.84		
VO_ADS_Morvenn Vahl_vsLuminas.ogg	SOR5	Morvenn Vahl	Sororitas	vsluminas	May his light guide our way, sister.	9.82		
VO_ADS_Morvenn Vahl_vsOrikan.ogg	SOR5	Morvenn Vahl	Sororitas	vsorikan	How does it feel to foresee your own death?	9.64		
VO_ADS_Morvenn Vahl_vsShadowsun.ogg	SOR5	Morvenn Vahl	Sororitas	vsshadowsun	Yours is a faithless race, worthy only of extermination.	9.24		
VO_ADS_Morvenn Vahl_wp.ogg	SOR5	Morvenn Vahl	Sororitas	wp	The witchcraft has lent you strength.	8.94		
VO_ADS_Paragon Warsuit - We bring judgment upon the heretic.ogg	SOR40	Paragon Warsuit	Sororitas	line	We bring judgment upon the heretic.	8.72	We bring judgment upon the heretic	
VO_ADS_Penitent Engine - Tortured scream.ogg	SOR34	Penitent Engine	Sororitas	line	Oh, oh, oh, oh!	8.9	Tortured scream	
VO_ADS_Preacher - The holy radiance of the Emperor burns within me.ogg	SOR12	Preacher	Sororitas	line	The holy radiance of the Emperor burns within me.	9.56	The holy radiance of the Emperor burns within me	
VO_ADS_Retributor - May His hand guide my aim in the coming battle.ogg	SOR23	Retributor	Sororitas	line	May his hand guide my aim in the coming battle!	8.89	May His hand guide my aim in the coming battle	
VO_ADS_Sacred Rose Sister - No armor will save you from our holy wrath.ogg	SOR68	Sacred Rose Sister	Sororitas	line	No armor will save you from our holy wrath.	8.49	No armor will save you from our holy wrath	
VO_ADS_Saint Celestine - Believe in the Emperor of Mankind and you shall walk in His light.ogg	SOR38	Saint Celestine	Sororitas	line	Believe in the Emperor of mankind and you shall walk in his light!	8.56	Believe in the Emperor of Mankind and you shall walk in His light	
VO_ADS_Seraphim - Our fire will rain from the skies.ogg	SOR24	Seraphim	Sororitas	line	Our fire will rain from the skies!	8.27	Our fire will rain from the skies	
VO_ADS_Simulacrum Bearer - Let the light of the God-Emperor guide our righteous fury.ogg	SOR18	Simulacrum Bearer	Sororitas	line	Let the light of the God Emperor guide our righteous fury!	8.79	Let the light of the God-Emperor guide our righteous fury	
VO_ADS_Simulacrum Imperialis - Bow before His divine authority.ogg	SOR_Simulacrum_Imperialis	Simulacrum Imperialis	Sororitas	line	Bow before his divine authority!	8.55	Bow before His divine authority	
VO_ADS_Sister Novitiate - I will prove my worth and serve Him with my life.ogg	SOR7	Sister Novitiate	Sororitas	line	I will prove my worth and serve him with my life.	9.2	I will prove my worth and serve Him with my life	
VO_ADS_Sister Repentia- Only in penance shall my soul be cleansed.ogg	SOR_Sisters_Repentia	Sisters Repentia	Sororitas	line	Only in penance shall my soul be cleansed.	9.06		
VO_ADS_Sororitas Rhino - We march for the Emperor!.ogg	SOR70	Sororitas Rhino	Sororitas	line	We march for the Emperor!	8.97	We march for the Emperor!	
VO_ADS_Triumph of Saint Katherine - Martyred Matriarch grant us thy protection.ogg	SOR_Triumph_of_Saint_Katherine	Triumph of Saint Katherine	Sororitas	line	Martyrd Matriarch, grant us thy protection!	9.12	Martyred Matriarch grant us thy protection	
VO_ADS_Zephyrim - With wings of faith we soar to glory.ogg	SOR35	Zephyrim	Sororitas	line	With wings of faith, we soar to glory.	8.5	With wings of faith we soar to glory	
VO_ADS_Zephyrim Superior - Our blades will rain from the skies.ogg	SOR71	Zephyrim Superior	Sororitas	line	Our blades will rain from the skies!	8.65	Our blades will rain from the skies	
VO_AM_Aquilon Servo-Sentry_Scanning for hostiles.ogg	AM68	Aquilon Servo-Sentry	AstraMilitarum	line	.	8.59		
VO_AM_Arcadian Leontus_attack.ogg	AM3	Lord Solar Leontus	AstraMilitarum	attack	Ruff!	8.62		
VO_AM_Arcadian Leontus_cantDo.ogg	AM3	Lord Solar Leontus	AstraMilitarum	cantdo	That is beyond our power.	8.94		
VO_AM_Arcadian Leontus_concede.ogg	AM3	Lord Solar Leontus	AstraMilitarum	concede	Fall back! Dawn shall rise brightest after the darkest night!	8.8		
VO_AM_Arcadian Leontus_death.ogg	AM3	Lord Solar Leontus	AstraMilitarum	death	AHHHHHHHHH!	8.73		
VO_AM_Arcadian Leontus_gen1.ogg	AM3	Lord Solar Leontus	AstraMilitarum	gen1	Forward, Konstantin! Let nothing slow us down!	8.51		
VO_AM_Arcadian Leontus_gen2.ogg	AM3	Lord Solar Leontus	AstraMilitarum	gen2	We are the hammer of the Emperor!	8.27		
VO_AM_Arcadian Leontus_gen3.ogg	AM3	Lord Solar Leontus	AstraMilitarum	gen3	Honour and courage light our way!	8.17		
VO_AM_Arcadian Leontus_gen4.ogg	AM3	Lord Solar Leontus	AstraMilitarum	gen4	Fear soul's righteous gaze.	8.28		
VO_AM_Arcadian Leontus_gen5.ogg	AM3	Lord Solar Leontus	AstraMilitarum	gen5	Emperor, give me strength!	8.3		
VO_AM_Arcadian Leontus_gen6.ogg	AM3	Lord Solar Leontus	AstraMilitarum	gen6	The toll is steep, yet every sacrifice paves the path to victory.	8.52		
VO_AM_Arcadian Leontus_gen7.ogg	AM3	Lord Solar Leontus	AstraMilitarum	gen7	Today, we etch our names in the stars.	8.77		
VO_AM_Arcadian Leontus_greet.ogg	AM3	Lord Solar Leontus	AstraMilitarum	greet	Ours is the moment! March forward!	8.77		
VO_AM_Arcadian Leontus_hurry.ogg	AM3	Lord Solar Leontus	AstraMilitarum	hurry	"""Decisiveness is a weapon! Let us act swiftly!"""	8.73		
VO_AM_Arcadian Leontus_intro.ogg	AM3	Lord Solar Leontus	AstraMilitarum	intro	Arise, warriors of the Imperium! For the Emperor!	8.88		
VO_AM_Arcadian Leontus_mirror.ogg	AM3	Lord Solar Leontus	AstraMilitarum	mirror	Onward! Fight so the dawn may rise anew!	8.91		
