keys,type,zh_CN
Change alliance badge,~,更换联盟徽章
Chat,~,聊天
Choose Warlord,~,选择督军
Choose your player name,~,选择你的玩家名
Click to remove: %s,~,点击移除：%s
Close,~,关闭
Completed: %d/6,~,已完成：%d/6
Cosmetics - Cardbacks / Avatars / Titles,~,装饰 - 卡背 / 头像 / 头衔
Create Alliance (1000 Gold),~,创建联盟（1000 金币）
Create deck,~,创建卡组
Currency,~,货币
Current Avatar,~,当前头像
Current Campaign,~,当前战役
Current Forge,~,当前锻造
Current Rank,~,当前段位
DEFENSIVE,~,防御
Daily Login Bonus,~,每日登录奖励
Daily Missions,~,每日任务
Daily Rewards,~,每日奖励
Daily Skulls,~,每日骷髅
Deck slots unlocked: %d,~,卡组槽位已解锁：%d
Defensive card (second player compensation),~,防御卡（后手补偿）
Division V,~,V 段
Edit Player Name,~,编辑玩家名
Ends in 12h 34 m,~,剩余 12 小时 34 分
Ends in:,~,剩余：
Ends in: 23d 5h,~,剩余：23 天 5 小时
Enemy Player,~,敌方玩家
FAQ: see the docs folder,~,常见问题：请查看文档目录
FPS Limit,~,帧率上限
Faction Rating,~,阵营评分
Featured: None,~,精选：无
Forge Points,~,锻造点数
Game mode: Ranked,~,游戏模式：排位
Global Rating,~,全球评分
Godot single-player build v0.9,~,Godot 单机版 v0.9
Graphics,~,画面
Hand Text Size,~,手牌文字大小
Highest Rank,~,最高段位
Highest Score: 0,~,最高分数：0
"If no opponent is found in a few seconds, you will be matched with a bot",~,若数秒内未找到对手，将匹配机器人
Instant Duel,~,即时决斗
Join an Alliance for extra Rewards,~,加入联盟以获得额外奖励
Joined %s,~,加入于 %s
Language,~,语言
Language set,~,语言已设置
Last season,~,上赛季
Legendary Points: 0,~,传说点数：0
Level 1/50,~,等级 1/50
Level: 0,~,等级：0
Local save: user://profile.json (Gold/Wildcards/Avatar/Title/Settings),~,本地存档：user://profile.json（金币/百搭/头像/头衔/设置）
Main Menu,~,主菜单
Members,~,成员
More offers,~,更多优惠
Multimedia,~,多媒体
Music Volume,~,音乐音量
Name changed to: %s,~,名称已改为：%s
Need help? Contact us,~,需要帮助？联系我们
No Deck - create one in Collection - Deck,~,没有卡组 - 请在 收藏 - 卡组 中创建
No Forge system in single-player build,~,单机版无锻造系统
No achievements in this category,~,本分类暂无成就
No claim code system in this offline build,~,离线版无兑换码系统
No decks yet - create one in Collection - Deck,~,还没有卡组 - 请在 收藏 - 卡组 中创建
No ranked play in single-player,~,单机版无排位玩法
No trophies yet,~,暂无奖杯
No voice lines for this warlord,~,此督军暂无语音
Not owned - buy in Shop,~,未拥有 - 可在商店购买
Nothing to claim in offline build,~,离线版无可领取内容
Offline build support: see project docs,~,离线版支持：请查看项目文档
Offline build: no online support,~,离线版：无在线支持
Original game by Everguild · this recreation is for study only,~,原版游戏由 Everguild 制作 · 本复刻仅供研究学习
Pack,~,卡包
Play Tutorial,~,游玩教程
Player ID: single-player build,~,玩家 ID：单机版
Player name: %s,~,玩家名：%s
Profile,~,个人资料
Quality Preset,~,质量预设
Questions about the game? View the FAQ,~,对游戏有疑问？查看常见问题
Rank: Division V · Score 0,~,段位：V 段 · 分数 0
Ranked / Unranked match toggle,~,排位 / 非排位对战切换
Ranked Season Info (New Season announcement),~,排位赛季信息（新赛季公告）
Ranked mode: %s,~,排位模式：%s
Refreshes in:,~,刷新于：
Rename,~,重命名
Replay coming soon,~,回放即将推出
Resources - Wildcard Packs,~,资源 - 百搭卡包
Rewards for logging in,~,登录奖励
Rewards: %s,~,奖励：%s
SELECT ARMY,~,选择军队
SFX Volume,~,音效音量
Score %d,~,分数 %d
Search player,~,搜索玩家
Searching opponent,~,正在搜索对手
Season Info,~,赛季信息
Select a warlord card from the pool (Warlord filter on) - tap to set,~,从卡池选择督军卡（督军筛选已开启）——点击设为督军
Select your Title,~,选择你的头衔
"Select your Warlord: drag a warlord card onto the 'Warlord' row, or click a warlord card",~,选择督军：将督军卡拖入“督军”栏，或点击督军卡
Select your avatar,~,选择你的头像
Selected,~,已选择
Send,~,发送
Settings,~,设置
Special Items,~,特殊物品
Start,~,开始
Stratagems 0,~,战术 0
Support,~,支持
Tap on the cards to discover,~,点击卡牌以查看
Tap to close,~,点击关闭
Top Warlord Mastery,~,督军精通排名
Troops 0,~,部队 0
Tutorial Campaign (planned),~,教程战役（规划中）
Unranked,~,非排位
Victory,~,胜利
View card,~,查看卡牌
View warlord card,~,查看督军卡
Voice Volume,~,语音音量
Warlord voice,~,督军语音
Weekly Challenge,~,每周挑战
"Welcome to WARHAMMER 40,000: WARPFORGE!",~,"欢迎来到战锤 40,000：WARPFORGE！"
Window Mode,~,窗口模式
You can also contact us at support@everguild.com,~,你也可以通过 support@everguild.com 联系我们
You will receive a full deck and a Warlord from the selected army.,~,你将获得所选军队的完整卡组与一名督军。
Your friends:,~,你的好友：
You’ll receive at least one Special Item after 10 crates.,~,每开 10 个宝箱必得至少一个特殊物品。
single-player build · no login required,~,单机版 · 无需登录
✓ Claimed,~,✓ 已领取
Premium rewards unlock in the full game.\nSingle-player: Base rewards only.,~,在完整版中解锁高级奖励。\n单机版：仅提供基础奖励。
Offline build: no Account System\n(login/linking/shop sync) replaced by local save,~,离线版：无账户系统\n（登录/关联/商店同步）由本地存档代替
No battle records yet\nStart a practice battle from the main menu to see it here,~,暂无战斗记录\n请从主菜单开始一场练习战以查看
No Alliance\nCreate or join an Alliance to earn Event points,~,没有联盟\n创建或加入联盟以获取活动点数
No friends yet\nfriends added will show here,~,暂无好友\n添加的好友将显示在这里
%s  (cost %d),~,%s（费用 %d）
"Warlord ""%s"" not found",~,"未找到督军 ""%s"""
"Card ""%s"" not found",~,"未找到卡牌 ""%s"""
"Card ""%s"" faction does not match warlord",~,"卡牌 ""%s"" 的阵营与督军不符"
"Card ""%s"" exceeds max copies (%d) for %s rarity",~,"卡牌 ""%s"" 超过 %s 稀有度的最大数量（%d）"
Agenda,~,议程
Ambush,~,伏击
Armour,~,护甲
Armour 1,~,护甲 1
Armour 2,~,护甲 2
Armour 3,~,护甲 3
Artifice,~,巧技
Backlash,~,反噬
Blast,~,爆裂
Blast 1,~,爆裂 1
Blast 2,~,爆裂 2
Blast 3,~,爆裂 3
Blast 4,~,爆裂 4
Blast 5,~,爆裂 5
Blind,~,失明
Blood Thirst,~,嗜血
Camouflage,~,伪装
Can't Attack,~,无法攻击
Codex,~,典籍
Companion,~,伴生
Concussive,~,震荡冲击
Cruelty,~,残忍
Dark Pact,~,黑暗契约
Destroyer,~,毁灭者
Duty,~,职责
Ecstasy,~,狂喜
Ephemeral,~,临时
Fast,~,迅捷
Ferocity,~,狂暴
Flank,~,侧翼
Flying,~,飞行
Genomic Enhancement,~,基因强化
Hunt Mark,~,猎杀印记
Invulnerable,~,无敌
Legendary,~,传说
Long Range,~,远程
Lord of the Storm,~,风暴之主
Mob,~,暴徒
Oath,~,誓言
Penitence,~,忏悔
Pray,~,祈祷
Rally,~,集结
Rally: All enemies lose Stealth and Camouflage,~,集结：所有敌人失去潜行与伪装
Regeneration,~,再生
Regeneration 2,~,再生 2
Regiment,~,兵团
Remnant,~,残响
Sabotage,~,破坏
Secret,~,隐秘
Sentry,~,哨戒
Shield,~,护盾
Shuriken 1,~,手里剑 1
Shuriken 2,~,手里剑 2
Shuriken 3,~,手里剑 3
Shuriken 4,~,手里剑 4
Shuriken 8,~,手里剑 8
Slay,~,屠戮
Sniper,~,狙击
Stealth,~,潜行
Stimulation,~,激励
Stomp,~,践踏
Strike,~,打击
Strike: Give +1 to your units,~,打击：你的单位获得 +1
Stun,~,眩晕
Swarm,~,虫群
Synapse,~,灵能网络
Talent,~,天赋
Talent: Cadian Honour,~,天赋：卡迪安荣誉
Talent: Empyric Ambush,~,天赋：灵能伏击
Talent: Path of the Warrior,~,天赋：战士之路
Talent: Skyborne Deployment,~,天赋：空降部署
Talent: Witchfire,~,天赋：女巫之火
Teleport,~,传送
Tide,~,潮涌
Tide 1,~,潮涌 1
Tide 2,~,潮涌 2
Unstable,~,不稳定
Uprising,~,起义
Vanguard,~,先锋
Vulnerable,~,脆弱
Waystone,~,界石
%s attacks (%s) - click enemy target (right-click cancels),~,%s 攻击（%s）——点击敌方目标（右键取消）
%s choose attack type - melee or ranged (right-click cancels),~,%s 选择攻击类型——近战或远程（右键取消）
Attack cancelled,~,攻击已取消
Camera centered,~,镜头已居中
Cancelled,~,已取消
Choose a target for the triggered effect (click a highlighted unit),~,为触发效果选择目标（点击高亮单位）
Choose tactic target (%s) - right-click to cancel,~,选择战术目标（%s）——右键取消
Defence card added to your hand,~,防御卡已加入你的手牌
Deploy %s - click your empty slot (right-click cancels),~,部署 %s —— 点击你的空槽位（右键取消）
Enemy turn...,~,敌方回合……
Ranged,~,远程
Resigned,~,已认输
Select a friendly unit to attack (or use a tactic),~,选择一个友方单位进行攻击（或使用战术）
Your turn,~,你的回合
Activate (%d %s),~,激活（%d %s）
Just play,~,仅游玩
Quit Battle,~,退出战斗
Resign,~,认输
Resume,~,继续
energy,~,能量
(1) Gain +1 and Flank,~,①：获得 +1 远程攻击和侧翼
(2) Gain Armour 2 and Flank,~,②：获得护甲 2 和侧翼
1 : Deal 3 damage to a random enemy,~,1 ☀：对 1 个随机敌人造成 3 点伤害
1: Deal 1 damage,~,1：造成 1 点伤害。
1: Gain Shuriken 2 this turn,~,①：本回合获得星镖 2
"2 ☀: Gain Armour 1.
4 ☀: Gain +2 ⚔ and +2 🔫.",~,"2 ☀：获得护甲 1。
4 ☀：获得 +2 ⚔ 和 +2 🔫。"
2nd Company Terminator,~,第二连终结者
3 Gain,~,③：获得迅捷
"3 [Icon]: Gain +1 Health.
Pray: Deploy a Sister Novitiate",~,"3 ☀：获得 +1 生命。
祈祷：部署 1 个见习修女"
"3: Deal 2-4 damage to an enemy. If target dies, gain Shield",~,3：对 1 个敌人造成 2-4 点伤害。若目标死亡，获得护盾。
3: Gain +1 and +1 Health,~,3 ☀：获得 +1 远程攻击和 +1 生命
3: Gain +1 and Armour 2,~,3 ☀：获得 +1 近战攻击和护甲 2
3: Gain Sentry 2,~,3：获得哨戒 2。
4: Deal 5 damage to an enemy troop,~,4：对 1 个敌方部队造成 5 点伤害。
5 [faith]: Gain Shield,~,5 ☀：获得护盾
"6: Gain Flank and Shield. Rally: If you have less than 6 Energy, gain 1 Energy for each enemy unit.",~,6：获得侧翼和护盾。集结：若你的能量少于 6 点，每有 1 个敌方单位便获得 1 点能量。
7th Company Bike,~,第七连摩托
A Trap Sprung,~,陷阱触发
Abaddon the Despoiler,~,掠夺者阿巴顿
Abaddons Chosen,~,阿巴顿神选
Aberrant,~,异形
Aberrant Hypermorph,~,异形超变体
Abominant,~,异形霸主
Accursed Helbrute,~,受诅地狱蛮兽
Achilles Ridgerunner,~,阿喀琉斯山脊车
Acid Rain,~,酸雨
Acolyte Heavy,~,侍僧重装
Acolyte Hybrid,~,侍僧混种
Acolyte Iconward,~,侍僧持旗者
Acolyte Leader,~,侍僧队长
Acolyte Specialist,~,侍僧专家
Adaptive Strategy,~,适应性战略
Adelaide the Serene,~,宁静的阿德莱德
Adjacent Remnants do not disappear at the end of your turn. Talent: Relentless March,~,相邻的残骸不会在你的回合结束时消失。天赋：无情进军。
Adjacent units have +1 Attack. Backlash: Returns to your hand and costs 2 more this turn.,~,相邻单位获得 +1 攻击。反噬：返回你的手牌，并且本回合费用 +2。
Adjacent units have +1 [attack] and +1 [weapon],~,相邻单位获得 +1[攻击] 和 +1[武器]。
Adjacent units have +1. Rally: Give Flank to a friendly Infantry.,~,相邻单位具有 +1。集结：给予一个友方步兵侧翼。
Adjacent units have Armour 1,~,相邻单位拥有护甲 1。
Adjacent units have Pack.,~,相邻单位拥有兽群。
Adjacent units have Regeneration 2,~,相邻单位获得再生 2。
Adrenal Surge,~,肾上腺激涌
Aerial Dominion,~,空中霸权
Aerial Seeding,~,空中播种
Aestred-Thurga,~,艾斯特雷德-瑟加
"After receiving a Dark Pact, deal 2 damage to a random enemy",~,获得一个黑暗契约后，对随机一个敌人造成 2 点伤害
"After receiving a Dark Pact, gain +1 Ranged Attack and +1 Health",~,获得一个黑暗契约后，获得 +1 远程攻击和 +1 生命
Agenda: Choose a card in your hand and return it to your deck. Draw a card. Gain [1]. Talent: Refuse to Yield,~,议程：选择手牌中的一张牌并将其移回你的卡组。抽 1 张牌。获得 1 点任务。天赋：拒不退让
"Agenda: Deal 2 damage. If the target survives, gain 1.",~,议程：造成 2 点伤害。若目标存活，获得 1 点任务。
Agenda: Gain 1. Talent: Master of Repentance,~,议程：获得 1 点任务。天赋：忏悔大师
Aggressor,~,侵略者
Aggressor Sergeant,~,突击者军士
Ahnakh-Yth Shrine,~,阿纳赫-伊斯圣殿
Alien Idol,~,异形偶像
"All enemies lose Stealth and Camouflage. If no enemy is affected, draw 2 cards",~,所有敌人失去潜行和伪装。若没有敌人受影响，抽 2 张卡。
All friendly units gain Armour 2 until your next turn and heal 2,~,所有友方单位直到你的下个回合获得护甲 2，并治疗 2 点生命
All troops you play this turn gain Flank.,~,你本回合打出的所有部队获得侧翼。
Alluress,~,魅惑者
Alpha Warrior,~,阿尔法战士
Amalia Novena,~,阿玛莉亚·诺维娜
Ambush Predator,~,伏击掠食者
Ambush: Gain +2 and +2,~,伏击：获得 +2 和 +2。
Ambush: Gain +2 armor. Strike: Create a random Sabotage in the enemy hand,~,伏击：获得 +2 护甲。猛击：在对手手牌中生成一张随机破坏卡。
"Ambush: Gain Flank, Blast 2 and Concussive this turn",~,伏击：本回合获得侧翼、爆裂 2 和震荡。
Ambush: Give +3 [Strength] and +3 [Ranged] to all your units. Talent: Deadliest Killer. Costs 1 less for each card in enemy hand,~,伏击：给予你的所有单位 +3 蛮力和 +3 远程。天赋：最致命的杀手。对手手牌中每有一张牌，其费用 -1。
Ancient Reliquary,~,圣物匣
Angel's Wrath,~,天使之怒
Angels of Death,~,死亡天使
Annihilation Barge,~,歼灭驳船
Annihilation Command,~,歼灭指令
Antaro Chronus,~,安塔罗·克罗努斯
Antrak Silk,~,安特拉克丝
Anvil of Endurance,~,坚忍之砧
Anvirr Keltoc,~,安维尔·凯尔托克
Apex Predator,~,顶级掠食者
Apothecary,~,医师
Apothecary Polixis,~,药剂师波利克西斯
Aquilon Servo-Sentry,~,阿奎隆伺服哨戒
Arco-Flagellant,~,电鞭苦修者
Ard As Nails,~,硬如钉子
Ardshell Gurk,~,硬壳古尔克
Arjac Rockfist,~,阿尔贾克·岩拳
Armorium Cherub,~,军械库小天使
Armour 1.,~,护甲 1。
Armour 1. Agenda: Trigger the Teleport and Slay effects of a friendly unit and gain 1,~,护甲 1。议程：触发一个我方单位的传送与斩杀效果，并获得 1 点任务
Armour 1. Ambush: Gain Vanguard,~,护甲 1。伏击：获得先锋。
Armour 1. Blast 3. Oath 2: Deal 3 damage.,~,护甲 1。爆裂 3。誓言 2：造成 3 点伤害。
Armour 1. Blast 4,~,护甲 1。爆裂 4。
Armour 1. Codex: Deal 4 damage to a random enemy with Armour.,~,护甲 1。典籍：对 1 个带护甲的随机敌人造成 4 点伤害。
Armour 1. Codex: Gain +1 ⬣ this turn.,~,护甲 1。典籍：本回合获得 +1 装甲。
Armour 1. Codex: Gain +2 [fist]. Oath 2: Gain Armour 1 and Vanguard,~,护甲 1。典籍：获得 +2 攻击。誓言 2：获得护甲 1 和先锋。
Armour 1. Concussive. Ambush: Gain Armour 1,~,护甲 1。震荡。伏击：获得护甲 1。
Armour 1. Cruelty: Deal 1 damage to another random friendly unit and gain +1 attack and +1 weapon.,~,护甲 1。残忍：对另一个随机友方单位造成 1 点伤害，并获得 +1 攻击和 +1 武器。
"Armour 1. Duty: Deal 8 damage. If the target has Armour, deal 12 damage instead",~,装甲 1。职责：造成 8 点伤害。若目标拥有装甲，则改为造成 12 点伤害。
Armour 1. Duty: Deploy two Tempestus Scion and give them Flank.,~,装甲 1。职责：部署 2 个暴风圣选兵并给予其侧翼。
Armour 1. Ecstasy 2: Heal 2. Stimulation: Gain +1 [Weapon].,~,护甲 1。狂喜 2：治疗 2。激励：获得 +1 武器。
Armour 1. Friendly Infantry and Drones have Flank.,~,护甲 1。友方步兵和无人机获得侧翼
Armour 1. Long Range. Companion 2: Missile Drone,~,护甲 1。远射。伴生 2：导弹无人机
Armour 1. Pack. Rally: Give +2 [attack] to all friendly units with Pack.,~,护甲 1。兽群。集结：给予所有带兽群的友方单位 +2 攻击。
"Armour 1. Rally: If you control no other troops, gain Armour 1.",~,护甲 1。集结：若你未控制其他部队，获得护甲 1。
Armour 1. Regiment: Gain +1.,~,装甲 1。团：获得 +1。
Armour 1. Strike: Deploy two Neophyte Hybrid,~,护甲 1。猛击：部署两个新教徒混种。
Armour 1. Teleport: Deal 2 damage to three random enemies.,~,护甲 1。传送：对三个随机敌人造成 2 点伤害。
Armour 1. Teleport: Destroy a random enemy troop.,~,护甲 1。传送：消灭一个随机敌方部队。
Armour 1. Teleport: Gain +1 [Attack] and Fast.,~,护甲 1。传送：获得 +1 攻击和迅捷。
"Armour 1. Teleport: Give +1, +1 and +1 Health to all friendly troops",~,护甲 1。传送：给予所有我方部队 +1 攻击、+1 护甲和 +1 生命
Armour 1. Unstable. Strike: Deploy a Bomb Squig,~,护甲 1。不稳定。猛击：部署一个炸弹猪。
Armour 1. Vanguard. Agenda: Give Armour 2 to another unit until your next turn,~,护甲 1。先锋。议程：给予另一个单位护甲 2，持续到你的下个回合
Armour 1. Vanguard. Codex: Heals 3,~,护甲 1。先锋。典籍：治疗 3 点。
Armour 1. Vanguard. Uprising: Deal 5 damage to a random enemy,~,护甲 1。先锋。起义：对一个随机敌人造成 5 点伤害。
"Armour 1. When a friendly troop dies, gain +2 Attack and Armour 1.",~,护甲 1。当我方部队死亡时，获得 +2 攻击与护甲 1。
"Armour 1. When a friendly unit Prays, deal 2 damage to a random enemy",~,护甲 1。当友方单位祈祷时，对 1 个随机敌人造成 2 点伤害
"Armour 1. When a friendly unit attacks, deal 3 damage to the target of the attack",~,护甲 1。当 1 个友方单位攻击时，对攻击目标造成 3 点伤害。
"Armour 1. When a friendly unit uses Ferocity, it stays in play. Ferocity: Deal 2-3 damage to all enemies",~,护甲 1。当 1 个友方单位使用狂暴时，它留在场上。狂暴：对所有敌人造成 2-3 点伤害。
"Armour 1. When you create or play a Secret, deal 2-4 damage to all enemies.",~,护甲 1。当你生成或打出一张隐秘牌时，对所有敌人造成 2-4 点伤害。
"Armour 1. When you gain Faith, deal 4 damage to the enemy warlord.
6 [Faith Icon]: Gain Vanguard",~,"护甲 1。当你获得信仰时，对敌方督军造成 4 点伤害。
6 ☀：获得先锋"
"Armour 1. When you gain [honour], deal 2 damage to a random enemy",~,护甲 1。当你获得任务点时，对随机一个敌人造成 2 点伤害
Armour 1. Your Stratagems cost 1 less,~,护甲 1。你的战术费用减少 1
Armour 2.,~,护甲 2。
Armour 2. Adjacent units have Armour 1. Duty: Deal 8 damage,~,装甲 2。相邻单位获得装甲 1。职责：造成 8 点伤害。
Armour 2. Any attack against your Warlord targets this troop instead.,~,装甲 2。任何以你的督军为目标的攻击改为以该部队为目标。
Armour 2. Concussive. Unstable. Rally: Stun a random enemy.,~,护甲 2。震荡。不稳定。集结：使一个随机敌人眩晕。
