效果名	分组	判定	亮度比中位	|ln|	置信度	峰值亮点	原版有内容时段	导出有内容时段	寿命差异	单帧旧判定	单帧L1	技术构成	人工备注
Plasma_basic_red	C	只有原版有内容 —— 导出整个丢了			低	81	0.30–0.30s	—		两边都空	0.0000	精灵图 多发射器(18) 抓屏扭曲	
Plasma_basic_turqoise	C	只有原版有内容 —— 导出整个丢了			低	81	0.30–0.30s	—		两边都空	0.0000	精灵图 多发射器(19) 抓屏扭曲	
Plasma_basic_yellow	C	只有原版有内容 —— 导出整个丢了			低	81	0.30–0.30s	—		两边都空	0.0000	精灵图 多发射器(18) 抓屏扭曲	
Plasma_blue_pointblank	C	只有原版有内容 —— 导出整个丢了			低	196	0.15–1.00s	—		只有原版有	0.0091	精灵图 多发射器(17) 抓屏扭曲	
BulletImpactBurst_Blood	D	只有导出有内容			高	1012	—	0.15–0.30s		两边都空	0.0000	精灵图 4发射器	
Aura_WhileInPlay_2	D	只有导出有内容			中	233	—	1.00–3.00s		偏亮	0.0003	精灵图 6发射器	
BulletImpact_Bolter_Wide Area	D	只有导出有内容			低	85	—	0.15–0.75s		对得上	0.0002	Mesh粒子 精灵图 多发射器(16) Matcap	
BulletImpact_Tau_Pulse Carbine Dual	D	只有导出有内容			低	61	—	0.50–0.50s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(28)	
BulletImpact_autogun_6shot_twinlink	D	只有导出有内容			低	73	—	0.50–0.75s		对得上	0.0000	Mesh粒子 精灵图 多发射器(28) Matcap	
BulletImpact_autogun_Automatic	D	只有导出有内容			低	63	—	1.00–1.00s		偏亮	0.0001	Mesh粒子 精灵图 多发射器(14) Matcap	
BulletImpact_deathspinner_arc	D	只有导出有内容			低	63	—	0.30–0.30s		只有导出有	0.0004	精灵图 多发射器(27) 拖尾	
BulletImpact_gatling_1s_invader	D	只有导出有内容			低	66	—	0.75–1.50s		对得上	0.0001	Mesh粒子 精灵图 多发射器(14) Matcap	
GatlingSweep	D	只有导出有内容			低	111	—	0.75–1.50s		偏亮	0.0004	Mesh粒子 精灵图 多发射器(14) Matcap	
PathOfCommand_buff	D	只有导出有内容			低	66	—	0.15–0.50s		对得上	0.0004	Mesh粒子 精灵图 6发射器	
Sau_Dimensional_Breach_Battleground	D	只有导出有内容			低	98	—	1.00–3.00s		只有导出有	0.0011	精灵图 多发射器(8) 拖尾	
Vortex Explosion Massive	E	偏暗（导出更暗/更稀）	0.00	5.528	高	2952	0.50–3.00s	1.50–3.00s		只有原版有	0.0020	Mesh粒子 精灵图 多发射器(21) Matcap/抓屏扭曲	
Stealth_Proc_UM	E	偏暗（导出更暗/更稀）	0.01	4.500	高	3404	0.15–1.00s	0.15–1.00s		只有导出有	0.0002	精灵图 多发射器(8) 抓屏扭曲	
Stealth_Proc_Eldar	E	偏暗（导出更暗/更稀）	0.02	4.132	高	1934	0.15–1.00s	0.15–1.00s		对得上	0.0004	精灵图 多发射器(10)	
CardPrefab	E	偏暗（导出更暗/更稀）	0.04	3.230	高	12552	0.15–3.00s	0.15–3.00s		偏暗	0.1420	Mesh粒子 精灵图 2发射器 Sprite/UI/文字	
Impact_blunt_lightning	E	偏暗（导出更暗/更稀）	0.08	2.505	高	1159	0.15–0.30s	0.15–0.15s	导出提前 0.30s 结束	偏亮	0.0000	精灵图 多发射器(9) 抓屏扭曲	
SynapseEffect_NoIcon	E	偏暗（导出更暗/更稀）	0.09	2.431	高	1980	0.15–1.50s	0.30–1.50s		对得上	0.0010	精灵图 多发射器(11) Sprite/抓屏扭曲	
Invoke Minion Hits Ground	E	偏暗（导出更暗/更稀）	0.10	2.302	高	931	0.15–0.75s	0.15–0.50s	导出提前 0.75s 结束	只有导出有	0.0062	Mesh粒子 精灵图 多发射器(8)	
BansheeHowl_blood	E	偏暗（导出更暗/更稀）	0.11	2.202	高	5112	0.15–1.00s	0.15–1.00s		对得上	0.0001	精灵图 3发射器 抓屏扭曲	
Smoke_Explosion	E	偏暗（导出更暗/更稀）	0.12	2.136	高	551	0.15–1.00s	0.15–0.75s	导出提前 1.00s 结束	只有原版有	0.0031	精灵图 5发射器	
SynapseEffect	E	偏暗（导出更暗/更稀）	0.19	1.681	高	5114	0.15–1.50s	0.15–1.50s		对得上	0.0027	精灵图 多发射器(11) Sprite/抓屏扭曲	
Rapturous Ruination Board	E	偏暗（导出更暗/更稀）	0.20	1.610	高	1403	0.15–2.00s	0.15–2.00s		偏暗	0.0043	Mesh粒子 精灵图 多发射器(15) Matcap/抓屏扭曲	
Slash Repeating 2x	E	偏暗（导出更暗/更稀）	0.21	1.579	高	4628	0.15–0.75s	0.15–1.00s	导出多播到 1.00s	偏亮	0.0002	精灵图 6发射器 抓屏扭曲	
BansheeHowl	E	偏暗（导出更暗/更稀）	0.29	1.251	高	6806	0.15–1.00s	0.15–1.00s		对得上	0.0006	精灵图 2发射器 抓屏扭曲	
BansheeHowl_warlord	E	偏暗（导出更暗/更稀）	0.29	1.251	高	6806	0.15–1.00s	0.15–1.00s		对得上	0.0003	精灵图 2发射器 抓屏扭曲	
Sword_Slash_DA	E	偏暗（导出更暗/更稀）	0.32	1.132	高	1948	0.30–0.50s	0.30–0.30s	导出提前 0.50s 结束	对得上	0.0000	Mesh粒子 精灵图 多发射器(10) 抓屏扭曲	
DaIrongobEffect	E	偏暗（导出更暗/更稀）	0.33	1.116	高	2208	0.15–1.50s	0.15–1.50s		对得上	0.0043	Mesh粒子 精灵图 多发射器(8) Sprite	
Environmental Condition Emperor's Children 1 Green	E	偏暗（导出更暗/更稀）	0.33	1.100	高	3636	0.15–3.00s	0.15–3.00s		偏暗	0.0049	Mesh粒子 精灵图 多发射器(67) Matcap/抓屏扭曲	
BulletImpact_artillery_arc	E	偏暗（导出更暗/更稀）	0.34	1.079	高	506	0.15–0.50s	0.15–0.50s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(21) Matcap/抓屏扭曲	
Artillery Manticore up 4x	E	偏暗（导出更暗/更稀）	0.34	1.078	高	721	0.15–0.75s	0.15–0.75s		对得上	0.0014	Mesh粒子 精灵图 多发射器(96) Matcap/抓屏扭曲	
Tyranid_Burrow	E	偏暗（导出更暗/更稀）	0.34	1.078	高	1467	0.15–2.00s	0.15–2.00s		对得上	0.0027	Mesh粒子 精灵图 6发射器 Matcap	
Artillery Manticore up 2x	E	偏暗（导出更暗/更稀）	0.34	1.075	高	602	0.15–0.50s	0.15–0.50s		对得上	0.0006	Mesh粒子 精灵图 多发射器(48) Matcap/抓屏扭曲	
BulletImpact_artillery_manticore_spread	E	偏暗（导出更暗/更稀）	0.37	0.993	高	1020	0.15–0.50s	0.15–0.75s	导出多播到 0.75s	两边都空	0.0000	Mesh粒子 精灵图 多发射器(25) Matcap/抓屏扭曲	
Environmental Condition Emperor's Children 1 Pink REJECTED	E	偏暗（导出更暗/更稀）	0.38	0.978	高	3638	0.15–3.00s	0.15–3.00s		偏暗	0.0074	Mesh粒子 精灵图 多发射器(61) Matcap/抓屏扭曲	
Telepathic_Control_target	E	偏暗（导出更暗/更稀）	0.38	0.963	高	3144	0.15–1.50s	0.15–1.50s		偏暗	0.0086	精灵图 6发射器 抓屏扭曲	
Slash Repeating 5x	E	偏暗（导出更暗/更稀）	0.38	0.957	高	4332	0.15–1.00s	0.15–1.00s		偏暗	0.0141	精灵图 6发射器 抓屏扭曲	
Basic_army_DA	E	偏暗（导出更暗/更稀）	0.40	0.920	高	1024	0.15–1.50s	0.15–1.50s		对得上	0.0010	精灵图 多发射器(11)	
Buff_DiabolicStrength	E	偏暗（导出更暗/更稀）	0.40	0.918	高	941	0.15–0.75s	0.15–0.75s		对得上	0.0002	精灵图 5发射器	
Basic_army_DA_Intense	E	偏暗（导出更暗/更稀）	0.40	0.916	高	1067	0.15–1.50s	0.15–1.50s		对得上	0.0017	精灵图 多发射器(16)	
Environmental Condition Black Legion Helfire Outburst	E	偏暗（导出更暗/更稀）	0.40	0.916	高	965	0.15–3.00s	0.50–3.00s		对得上	0.0020	Mesh粒子 精灵图 多发射器(104) 抓屏扭曲	
DeckBuff_Green	E	偏暗（导出更暗/更稀）	0.41	0.898	高	5366	0.15–1.00s	0.15–1.00s		偏亮	0.0003	精灵图 5发射器	
Buff_Tyranid Armor	E	偏暗（导出更暗/更稀）	0.41	0.896	高	1007	0.50–2.00s	0.50–2.00s		对得上	0.0008	Mesh粒子 精灵图 多发射器(17) Matcap	
Goff_ProphetOfDaWaaagh	E	偏暗（导出更暗/更稀）	0.41	0.892	高	1638	0.30–3.00s	0.30–3.00s		对得上	0.0052	Mesh粒子 精灵图 6发射器 Matcap/Sprite	
Goff_GreatestWarboss	E	偏暗（导出更暗/更稀）	0.41	0.884	高	1816	0.30–3.00s	0.30–3.00s		对得上	0.0059	Mesh粒子 精灵图 多发射器(8) Matcap/Sprite	
BeastSnagga_Summon	E	偏暗（导出更暗/更稀）	0.42	0.865	高	668	0.30–2.00s	0.50–2.00s		对得上	0.0031	Mesh粒子 精灵图 多发射器(9) Matcap	
Goff_WaaaghRed_skulls	E	偏暗（导出更暗/更稀）	0.44	0.813	高	849	0.15–1.00s	0.15–1.00s		对得上	0.0006	Mesh粒子 精灵图 多发射器(11)	
Scream_purple	E	偏暗（导出更暗/更稀）	0.47	0.764	高	4140	0.15–1.50s	0.15–1.00s	导出提前 1.50s 结束	只有原版有	0.0072	精灵图 2发射器 抓屏扭曲	
Cut Termie Lightning Claws	E	偏暗（导出更暗/更稀）	0.47	0.757	高	3306	0.15–0.75s	0.15–1.00s	导出多播到 1.00s	对得上	0.0007	精灵图 多发射器(34) 抓屏扭曲	
EarthCrack_Single	E	偏暗（导出更暗/更稀）	0.47	0.755	高	1992	0.30–3.00s	0.30–3.00s		对得上	0.0038	Mesh粒子 精灵图 4发射器	
Tank_Shot_Small	E	偏暗（导出更暗/更稀）	0.48	0.740	高	934	0.15–0.50s	0.15–0.30s	导出提前 0.50s 结束	两边都空	0.0001	精灵图 4发射器	
Explosion_Debris	E	偏暗（导出更暗/更稀）	0.48	0.736	高	3848	0.15–1.00s	0.15–1.00s		对得上	0.0007	精灵图 7发射器 抓屏扭曲	
StunEffect_proc	E	偏暗（导出更暗/更稀）	0.48	0.731	高	1172	0.15–0.75s	0.15–0.50s	导出提前 0.75s 结束	只有导出有	0.0001	精灵图 3发射器	
Explosion_Debris_UI	E	偏暗（导出更暗/更稀）	0.48	0.729	高	4624	0.15–1.00s	0.15–1.00s		对得上	0.0006	精灵图 7发射器 抓屏扭曲	
Buff_Red	E	偏暗（导出更暗/更稀）	0.48	0.726	高	876	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 4发射器	
HeroOfTheEmpire OLD	E	偏暗（导出更暗/更稀）	0.49	0.714	高	2630	0.15–1.50s	0.15–1.50s		偏暗	0.0036	Mesh粒子 精灵图 多发射器(12) Sprite	
KhaineBuff	E	偏暗（导出更暗/更稀）	0.50	0.698	高	910	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 7发射器 Matcap	
Buff_Red_Intense	E	偏暗（导出更暗/更稀）	0.50	0.696	高	876	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 5发射器	
Buff_Tau_Kroot	E	偏暗（导出更暗/更稀）	0.50	0.695	高	1157	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 5发射器	
Atk_JainasMor	E	偏暗（导出更暗/更稀）	0.50	0.684	高	7511	0.15–1.00s	0.15–1.00s		对得上	0.0042	Mesh粒子 精灵图 多发射器(15) 抓屏扭曲	
Scream_Ragnar_Target	E	偏暗（导出更暗/更稀）	0.51	0.679	高	4140	0.15–1.50s	0.15–1.50s		偏暗	0.0067	精灵图 4发射器 抓屏扭曲	
DeckBuff_MoveToTop	E	偏暗（导出更暗/更稀）	0.52	0.661	高	5054	0.15–1.00s	0.15–1.00s		偏亮	0.0002	精灵图 5发射器	
Buff_Orange	E	偏暗（导出更暗/更稀）	0.54	0.624	高	876	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 4发射器	
BansheeHowl_blood glow	E	偏暗（导出更暗/更稀）	0.55	0.598	高	5112	0.15–1.00s	0.15–1.00s		偏亮	0.0001	精灵图 4发射器 抓屏扭曲	
Goff_Rok_Invasion	E	偏暗（导出更暗/更稀）	0.55	0.595	高	1800	3.00–3.00s	0.15–3.00s		偏亮	0.0019	Mesh粒子 精灵图 6发射器	
Sororitas_BladeOfFaith	E	偏暗（导出更暗/更稀）	0.56	0.588	高	676	0.15–0.75s	0.15–0.30s	导出提前 0.75s 结束	两边都空	0.0000	精灵图 多发射器(21) 抓屏扭曲	
Scream_purple_nid	E	偏暗（导出更暗/更稀）	0.56	0.587	高	4140	0.15–1.50s	0.15–1.00s	导出提前 1.50s 结束	偏暗	0.0067	精灵图 4发射器 抓屏扭曲	
Buff_DarkOratory	E	偏暗（导出更暗/更稀）	0.56	0.582	高	891	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 7发射器	
Sororitas_Destroy_Flames	E	偏暗（导出更暗/更稀）	0.56	0.573	高	559	0.15–2.00s	0.15–2.00s		对得上	0.0003	精灵图 多发射器(16) 抓屏扭曲	
Explosion Fenrisian Monstrosities Extra Damage	E	偏暗（导出更暗/更稀）	0.56	0.573	高	1574	0.15–3.00s	0.15–3.00s		对得上	0.0060	Mesh粒子 精灵图 多发射器(12) Matcap	
Buff_Blue	E	偏暗（导出更暗/更稀）	0.57	0.568	高	1173	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 4发射器	
Buff_Drach'nyen	E	偏暗（导出更暗/更稀）	0.57	0.564	高	875	0.50–1.00s	0.50–1.00s		对得上	0.0001	精灵图 多发射器(9)	
Buff_LegacyOfVengeance	E	偏暗（导出更暗/更稀）	0.57	0.561	高	891	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 多发射器(8)	
ArdAsNailsEffect	E	偏暗（导出更暗/更稀）	0.58	0.549	高	1221	0.15–1.50s	0.15–1.00s	导出提前 1.50s 结束	对得上	0.0024	Mesh粒子 精灵图 7发射器 Sprite	
Buff_Blue_Tau_quick	E	偏暗（导出更暗/更稀）	0.58	0.543	高	1173	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 5发射器	
OrkBuff_KrumpDaGitz	E	偏暗（导出更暗/更稀）	0.59	0.525	高	621	0.15–2.00s	0.15–2.00s		对得上	0.0020	Mesh粒子 精灵图 多发射器(16) Sprite	
Buff_Blue_Tau	E	偏暗（导出更暗/更稀）	0.60	0.517	高	1173	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 7发射器	
Buff_Red_ork	E	偏暗（导出更暗/更稀）	0.61	0.487	高	804	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 多发射器(8)	
Helfire Burst Target	E	偏暗（导出更暗/更稀）	0.62	0.484	高	505	0.75–1.50s	0.75–1.50s		对得上	0.0012	精灵图 多发射器(9)	
Basic_army_UM_Hammer	E	偏暗（导出更暗/更稀）	0.62	0.482	高	1360	0.15–1.50s	0.15–1.50s		偏暗	0.0025	精灵图 多发射器(12) 抓屏扭曲	
ArtificeEffect	E	偏暗（导出更暗/更稀）	0.62	0.482	高	3047	0.15–1.00s	0.15–1.00s		只有原版有	0.0050	精灵图 多发射器(8) Sprite	
Buff_Green	E	偏暗（导出更暗/更稀）	0.62	0.470	高	888	0.15–0.75s	0.15–0.75s		只有导出有	0.0000	精灵图 4发射器	
Buff_Green_Intense	E	偏暗（导出更暗/更稀）	0.63	0.468	高	916	0.15–0.75s	0.15–0.75s		只有导出有	0.0000	精灵图 6发射器	
Explosion Hive Fleet Arrival Tendrils OLD	E	偏暗（导出更暗/更稀）	0.63	0.464	高	854	0.15–3.00s	0.15–3.00s		偏暗	0.0009	Mesh粒子 精灵图 多发射器(52) Matcap/抓屏扭曲	
Basic_army_UM	E	偏暗（导出更暗/更稀）	0.64	0.443	高	1075	0.15–1.50s	0.15–1.50s		对得上	0.0011	精灵图 多发射器(10)	
Basic_army_UM_Chant	E	偏暗（导出更暗/更稀）	0.64	0.443	高	1075	0.15–1.50s	0.15–1.50s		对得上	0.0012	精灵图 多发射器(10)	
Basic_army_UM_Chainsword	E	偏暗（导出更暗/更稀）	0.64	0.443	高	1075	0.15–1.50s	0.15–1.50s		对得上	0.0012	精灵图 多发射器(11)	
Tap Firepit 2	E	偏暗（导出更暗/更稀）	0.65	0.437	高	792	0.15–1.00s	0.15–1.00s		偏暗	0.0003	精灵图 4发射器	
Invoke Minion Legendary ALT	E	偏暗（导出更暗/更稀）	0.65	0.430	高	1096	0.15–1.00s	0.15–1.00s		偏亮	0.0262	Mesh粒子 精灵图 多发射器(12)	
Scream_gold	E	偏暗（导出更暗/更稀）	0.65	0.427	高	4140	0.15–1.50s	0.15–1.00s	导出提前 1.50s 结束	只有原版有	0.0072	精灵图 2发射器 抓屏扭曲	
VanguardIdleEffect	E	偏暗（导出更暗/更稀）	0.67	0.400	高	1981	0.15–1.50s	0.15–2.00s	导出多播到 2.00s	对得上	0.0036	精灵图 多发射器(25) Matcap	
ToxicMiasma_Warlord	E	偏暗（导出更暗/更稀）	0.68	0.391	高	4617	0.15–3.00s	0.15–3.00s		偏暗	0.0049	精灵图 5发射器 抓屏扭曲	
Buff_Tau_Air	E	偏暗（导出更暗/更稀）	0.68	0.389	高	1173	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 5发射器	
Basic_army_Guard_quick Master of Ordnance	E	偏暗（导出更暗/更稀）	0.68	0.385	高	4988	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 多发射器(9) 抓屏扭曲	
Chaos_Destroy_Brutal	E	偏暗（导出更暗/更稀）	0.68	0.384	高	1424	0.15–0.30s	0.15–0.30s		两边都空	0.0000	精灵图 多发射器(14) 抓屏扭曲	
Environmental Condition Emperor's Children 2 Fumes	E	偏暗（导出更暗/更稀）	0.68	0.383	高	1271	0.15–3.00s	0.15–3.00s		对得上	0.0016	精灵图 多发射器(34)	
Buff_Tau_Water	E	偏暗（导出更暗/更稀）	0.69	0.378	高	1173	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 5发射器	
Buff_Tau_Fire	E	偏暗（导出更暗/更稀）	0.69	0.376	高	1173	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 5发射器	
BulletImpact_Tau_Missile 10x	E	偏亮（导出更亮/更密）	1.40	0.337	高	561	0.15–1.50s	0.15–2.00s	导出多播到 2.00s	偏亮	0.0034	Mesh粒子 精灵图 多发射器(21) Matcap/抓屏扭曲/拖尾	
Artillery Manticore down 4x spread	E	偏亮（导出更亮/更密）	1.41	0.342	高	1211	0.15–0.75s	0.15–0.75s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(52) Matcap/抓屏扭曲	
Sau_HealProtocol	E	偏亮（导出更亮/更密）	1.41	0.342	高	3534	0.75–1.50s	0.75–1.50s		对得上	0.0007	Mesh粒子 精灵图 多发射器(10)	
Gain_Sentry	E	偏亮（导出更亮/更密）	1.41	0.342	高	563	0.15–1.00s	0.15–1.00s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(9)	
Buff_DaemonicPact	E	偏亮（导出更亮/更密）	1.41	0.345	高	679	0.30–3.00s	0.15–3.00s		对得上	0.0002	Mesh粒子 精灵图 多发射器(10)	
MoreDakkaEffect	E	偏亮（导出更亮/更密）	1.42	0.347	高	2881	0.15–1.00s	0.15–1.00s		偏亮	0.0035	Mesh粒子 精灵图 5发射器 Sprite	
BloodThirstEffect_Lose	E	偏亮（导出更亮/更密）	1.43	0.357	高	3752	0.15–1.00s	0.15–1.00s		对得上	0.0005	精灵图 4发射器 Sprite	
UM_TacticalInsight	E	偏亮（导出更亮/更密）	1.45	0.369	高	1458	0.15–1.50s	0.15–1.50s		对得上	0.0009	Mesh粒子 精灵图 多发射器(8)	
Antimatter Explosion	E	偏亮（导出更亮/更密）	1.46	0.375	高	2614	0.30–3.00s	0.30–3.00s		对得上	0.0039	精灵图 多发射器(10)	
Teleport Trait Summon	E	偏亮（导出更亮/更密）	1.46	0.380	高	519	0.15–2.00s	0.15–2.00s		对得上	0.0009	精灵图 多发射器(11)	
CantAttackEffect	E	偏亮（导出更亮/更密）	1.46	0.380	高	1436	0.15–1.50s	0.15–1.50s		偏亮	0.0041	精灵图 4发射器 Sprite	
Buff_MarkOfSlaanesh	E	偏亮（导出更亮/更密）	1.49	0.400	高	1250	0.15–2.00s	0.15–2.00s		偏亮	0.0027	精灵图 多发射器(11)	
Sau_MasterChronomancer	E	偏亮（导出更亮/更密）	1.50	0.403	高	2275	0.15–2.00s	0.15–2.00s		对得上	0.0005	精灵图 多发射器(17)	
EnvironmentalCondition Ultramarines Thunderstorm	E	偏亮（导出更亮/更密）	1.50	0.403	高	1288	0.50–0.75s	0.50–0.75s		两边都空	0.0000	精灵图 多发射器(46)	
BacklashEffect	E	偏亮（导出更亮/更密）	1.50	0.407	高	1523	0.30–2.00s	0.30–2.00s		偏亮	0.0170	精灵图 4发射器	
BulletImpact_Psychophage	E	偏亮（导出更亮/更密）	1.61	0.479	高	743	0.15–1.50s	0.15–1.00s	导出提前 1.50s 结束	对得上	0.0011	精灵图 多发射器(11) 抓屏扭曲	
CodexIdleEffect	E	偏亮（导出更亮/更密）	1.62	0.484	高	3981	0.15–3.00s	0.15–3.00s		对得上	0.0037	精灵图 6发射器 Sprite	
CodexEffect	E	偏亮（导出更亮/更密）	1.63	0.491	高	3981	0.15–2.00s	0.15–2.00s		对得上	0.0051	精灵图 6发射器 Sprite	
Buff_Sororitas_quick	E	偏亮（导出更亮/更密）	1.64	0.492	高	802	0.15–1.00s	0.15–1.00s		偏暗	0.0007	精灵图 5发射器	
Buff_Sororitas_quick_fire	E	偏亮（导出更亮/更密）	1.69	0.524	高	884	0.15–1.00s	0.15–1.50s	导出多播到 1.50s	偏亮	0.0034	精灵图 多发射器(13)	
Environmental Condition Astra Militarum Planetary Invasion	E	偏亮（导出更亮/更密）	1.70	0.531	高	687	0.15–3.00s	0.15–3.00s		偏亮	0.0009	Mesh粒子 精灵图 多发射器(73) Matcap/抓屏扭曲/拖尾	
Duty Reset	E	偏亮（导出更亮/更密）	1.73	0.549	高	1019	0.15–1.00s	0.15–1.00s		偏亮	0.0027	Mesh粒子 精灵图 6发射器 Sprite	
TalentEffect	E	偏亮（导出更亮/更密）	1.73	0.550	高	4455	0.15–1.50s	0.15–1.50s		偏亮	0.0173	精灵图 3发射器 Sprite	
Buff_Sororitas_quick_fire_intense	E	偏亮（导出更亮/更密）	1.74	0.553	高	924	0.15–2.00s	0.15–2.00s		偏亮	0.0041	精灵图 多发射器(15)	
CreateCard EC Elixir	E	偏亮（导出更亮/更密）	1.74	0.554	高	540	0.15–1.50s	0.15–1.50s		对得上	0.0026	精灵图 多发射器(11)	
BloodySplash	E	偏亮（导出更亮/更密）	1.75	0.559	高	723	0.15–0.75s	0.15–0.75s		只有导出有	0.0000	精灵图 3发射器	
RegimentEffect	E	偏亮（导出更亮/更密）	1.78	0.574	高	1473	0.30–1.00s	0.30–1.00s		偏亮	0.0040	Mesh粒子 精灵图 5发射器 Sprite	
